Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99,agent-100,agent-101,agent-102,agent-103,agent-104,agent-105,agent-106,agent-107,agent-108,agent-109,agent-110,agent-111,agent-112,agent-113,agent-114,agent-115,agent-116,agent-117,agent-118,agent-119,agent-120,agent-121,agent-122,agent-123,agent-124,agent-125,agent-126,agent-127,agent-128,agent-129,agent-130,agent-131,agent-132,agent-133,agent-134,agent-135,agent-136,agent-137,agent-138,agent-139
0,0,66,46,6,58,49,31,61,66,30,63,74,98,59,85,33,70,54,83,90,47,80,32,2,18,40,80,29,26,70,97,65,52,56,65,0,59,0,50,55,72,9,18,11,24,78,19,24,38,59,87,41,31,83,30,66,59,20,45,10,89,52,16,30,7,62,51,38,83,87,65,42,90,46,25,34,65,68,52,4,47,83,7,1,66,35,68,64,56,90,11,70,62,90,60,92,31,64,83,27,43,90,4,37,71,5,84,59,72,75,17,21,84,24,7,23,36,66,72,62,71,74,40,38,18,63,51,16,45,21,99,40,29,20,8,68,15,84,49,82,56
0,1,66,46,6,58,49,31,61,66,30,63,74,98,59,86,31,76,27,85,99,43,86,35,4,95,47,89,21,24,70,70,69,51,92,66,11,54,51,57,50,64,8,10,12,20,22,19,24,38,59,87,41,31,83,30,66,59,20,45,10,89,52,16,30,7,62,51,38,83,87,65,42,90,46,25,34,65,68,53,6,86,24,6,3,39,87,44,55,58,95,17,71,60,61,60,92,31,64,83,27,43,90,4,37,71,5,84,59,72,75,10,26,98,68,12,26,30,80,72,62,71,74,40,38,18,63,8,11,40,62,99,40,29,20,24,66,15,84,49,82,56
0,2,11,48,5,93,46,63,51,63,13,17,1,93,59,86,31,76,27,85,99,43,86,35,4,95,47,89,21,24,70,70,69,51,92,66,11,54,51,57,50,64,8,10,12,20,22,19,24,38,59,87,41,31,83,30,66,59,20,45,10,89,52,14,32,95,80,18,36,88,89,62,40,33,42,2,11,7,53,53,6,86,24,6,3,39,87,44,55,58,95,17,71,60,61,60,92,31,64,83,27,43,90,90,36,6,2,62,30,76,79,10,26,98,68,12,26,30,80,72,62,71,74,63,39,74,64,8,11,40,62,99,40,24,24,24,66,15,89,49,82,58
0,3,11,48,5,93,46,63,51,63,13,17,1,93,59,80,33,76,78,86,77,49,81,35,4,95,47,89,21,24,70,8,67,59,90,69,15,58,54,57,50,64,8,10,12,20,22,19,24,38,59,87,41,31,83,30,66,59,20,45,10,89,52,14,32,95,80,18,36,88,89,62,40,33,42,2,11,7,53,59,5,11,41,6,3,39,87,74,52,10,19,17,71,60,61,60,92,31,64,83,27,43,90,90,36,6,2,62,30,76,79,18,42,98,68,15,21,30,80,72,62,71,74,63,39,74,64,78,11,45,62,99,40,24,24,22,68,15,89,47,82,53
0,4,11,48,5,93,46,63,51,63,13,17,1,93,59,80,33,76,78,86,77,49,81,35,4,95,47,89,21,24,70,8,61,50,90,68,18,51,54,57,58,95,4,10,12,20,12,19,24,38,59,87,41,31,83,26,67,88,43,3,14,8,9,15,39,95,80,60,36,80,9,62,40,33,42,2,11,7,53,59,5,11,41,6,3,39,87,74,59,16,16,78,11,60,71,60,92,31,64,87,22,45,0,43,36,6,8,62,30,76,79,18,42,98,68,11,26,43,3,72,62,78,74,69,34,74,64,78,11,44,2,99,2,29,24,22,61,19,80,42,82,57
0,5,11,48,5,93,46,63,51,63,13,17,1,93,59,80,33,76,78,86,77,49,81,35,4,95,47,89,21,24,70,8,61,50,90,68,18,51,54,57,58,95,4,10,12,20,12,48,64,37,59,56,91,1,1,2,61,83,48,3,14,8,9,15,39,95,80,60,36,80,9,62,40,33,42,2,11,7,53,59,5,11,41,6,3,39,87,74,59,16,16,78,11,60,71,45,32,31,49,83,27,45,0,43,36,6,8,62,30,76,79,18,42,98,68,11,26,43,3,3,65,70,74,69,34,74,64,78,11,44,2,7,2,29,24,22,61,13,80,42,87,57
0,6,11,48,5,93,46,63,51,63,13,17,1,93,59,80,33,76,78,88,60,24,81,35,5,95,47,76,26,23,70,8,61,50,90,68,18,51,54,57,58,95,4,10,12,20,12,48,64,37,59,56,91,1,1,2,61,83,48,3,14,8,9,10,33,84,43,60,36,80,9,62,40,33,42,2,11,7,53,59,5,61,43,3,37,37,99,74,59,16,16,78,11,60,71,45,32,31,49,83,27,45,0,44,39,6,8,62,30,76,79,18,42,78,87,11,26,43,3,3,65,70,74,17,34,74,64,18,17,44,2,7,2,29,24,22,61,13,80,47,81,57
0,7,11,48,5,93,46,63,51,63,13,17,1,93,59,80,37,76,78,81,60,29,81,35,5,95,47,73,26,24,70,8,61,50,90,68,18,51,54,57,58,95,4,10,12,20,12,48,64,37,59,56,91,1,1,2,61,83,48,3,14,8,9,10,33,84,43,60,36,80,9,62,40,33,42,2,11,7,53,52,9,61,44,3,37,33,93,74,59,16,16,78,11,60,71,45,32,31,49,83,27,45,0,44,39,6,8,62,30,76,79,18,42,78,87,11,26,43,3,3,65,70,74,17,34,74,64,13,17,44,2,7,2,29,24,22,61,13,80,40,81,57
0,8,91,48,27,93,17,63,51,63,13,70,11,67,53,80,37,76,78,81,60,29,81,35,5,95,47,73,26,24,70,8,61,50,90,68,18,51,54,57,58,95,4,10,12,20,12,48,64,37,59,56,91,1,1,2,61,83,48,3,14,8,9,10,33,84,43,60,36,80,9,2,40,45,48,2,11,4,53,52,9,61,44,3,37,33,93,74,59,16,16,78,11,60,71,45,32,31,49,83,27,45,0,44,39,6,8,72,80,76,71,18,42,78,87,11,26,43,3,3,65,70,74,17,34,92,65,13,17,44,2,7,2,29,27,22,61,13,80,40,87,57
0,9,91,48,27,93,17,63,51,63,13,70,11,67,53,80,37,76,78,81,60,29,81,35,5,95,47,73,26,24,70,8,61,50,90,68,18,51,54,57,58,95,4,10,12,20,47,48,64,37,59,56,91,1,1,2,61,83,48,3,14,8,9,10,33,84,43,60,36,80,9,2,40,45,48,2,11,4,53,52,9,61,44,3,37,33,93,74,59,16,16,53,15,60,71,45,32,31,49,83,27,45,0,44,39,6,8,72,80,76,71,18,42,78,87,11,26,42,43,3,65,70,74,17,34,92,65,13,17,44,19,7,2,29,27,22,63,13,80,40,87,57
