Unfairness weight,Local cost weight,Global cost weight
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4
0.0,0.6,0.4

