Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99
0,13,14,33,58,63,36,73,59,51,11,46,5,63,87,46,72,54,55,4,26,80,32,21,54,28,14,89,26,95,48,76,18,48,32,57,9,95,8,72,43,9,90,58,46,80,92,88,17,40,99,90,91,72,45,89,17,12,65,17,2,8,53,91,47,63,97,66,98,88,52,50,12,29,71,81,90,55,72,92,69,78,39,29,45,8,40,3,27,73,91,78,44,75,74,92,83,46,87,3,32,92
0,14,14,33,58,63,36,73,59,51,11,46,5,63,87,46,72,54,55,4,26,80,32,21,54,28,14,89,26,95,48,76,18,17,32,57,13,90,8,72,43,9,90,58,46,80,92,88,17,40,99,90,91,72,45,89,17,12,65,17,2,8,53,91,47,68,97,66,98,88,52,50,12,29,71,81,90,55,72,92,69,78,39,9,45,8,40,3,27,73,91,78,44,75,74,92,83,46,87,3,38,92
0,15,14,33,58,63,36,73,59,51,11,46,5,63,87,46,72,54,55,4,26,48,29,21,54,28,14,89,26,95,48,76,18,17,32,57,13,90,8,72,43,67,90,58,46,80,92,88,17,40,99,90,91,72,45,89,17,12,65,17,2,8,53,91,47,68,97,66,98,88,52,50,19,29,71,81,90,55,72,92,69,78,39,9,45,8,40,19,27,73,91,78,44,75,74,92,83,46,87,3,32,92
0,16,14,33,58,63,36,73,59,51,11,46,5,63,87,46,72,54,55,4,26,44,29,21,54,28,14,89,26,95,48,76,18,17,32,57,13,90,8,72,43,67,90,58,46,80,92,88,17,40,99,90,91,72,45,89,17,56,65,17,2,8,53,91,47,68,97,66,98,88,52,50,19,29,71,81,90,55,72,92,69,78,20,9,45,8,40,19,27,73,91,78,44,75,74,92,83,46,87,3,38,92
0,17,17,33,58,63,36,73,59,51,11,46,5,63,87,46,72,54,55,4,26,44,29,21,54,28,14,89,26,95,48,76,18,8,32,57,13,90,8,72,43,67,90,58,57,80,92,88,17,40,82,90,91,60,45,89,17,56,65,37,2,8,53,91,47,66,97,79,98,88,52,50,19,29,71,81,90,42,72,92,69,78,20,9,45,8,40,19,27,73,91,78,44,75,74,92,83,46,87,3,38,92
0,18,17,33,58,63,36,73,59,51,11,46,5,63,87,46,72,54,55,4,26,44,29,21,54,28,14,89,26,95,48,76,18,8,32,57,13,90,8,72,43,67,90,58,57,80,92,88,17,40,82,90,91,60,45,89,17,56,65,37,2,8,53,91,47,66,97,69,98,88,52,50,19,29,71,91,90,42,72,92,62,78,20,9,45,8,40,19,27,73,91,78,44,75,74,92,83,46,87,3,38,92
0,19,17,33,58,63,36,73,59,51,11,46,5,63,87,46,72,54,55,4,26,44,29,21,54,28,14,89,26,95,48,76,18,8,32,57,13,90,8,72,43,67,90,58,57,80,92,88,17,40,82,90,91,60,45,89,17,56,65,37,2,8,53,91,47,66,97,69,98,88,52,50,19,29,71,91,90,43,72,92,62,78,20,9,45,8,40,19,27,73,91,78,44,75,74,92,83,46,87,3,38,92
0,20,17,33,58,63,36,73,59,51,11,46,5,63,87,46,72,54,55,4,26,44,29,21,54,28,14,89,26,95,48,76,18,8,32,57,13,90,8,64,43,67,90,58,57,80,92,88,17,40,82,90,91,60,45,89,17,56,65,37,2,8,53,91,47,66,97,69,98,88,52,47,19,29,71,91,90,43,72,92,62,78,20,9,45,8,40,18,25,73,91,78,44,75,74,92,83,46,87,3,38,92
0,21,17,33,58,63,36,73,59,51,11,46,5,63,87,46,72,54,55,4,26,44,29,21,54,28,14,89,26,95,48,76,18,8,32,57,13,90,8,64,43,67,90,58,57,80,92,88,17,40,82,90,91,60,45,89,17,56,65,37,2,8,53,91,47,66,97,69,98,88,52,47,19,29,71,91,90,43,72,92,62,78,20,9,45,8,40,18,25,73,91,78,44,75,74,92,83,46,87,3,38,92
0,22,17,33,58,63,36,73,59,51,11,46,5,63,87,46,72,54,55,4,26,44,29,21,54,28,14,89,26,95,48,76,18,8,32,57,13,90,8,64,43,67,90,58,57,80,92,88,11,40,82,90,91,60,45,89,17,56,65,37,2,8,53,91,47,66,97,69,98,88,52,47,19,29,71,84,90,43,72,92,62,78,20,9,45,8,40,18,25,73,91,78,44,75,74,92,83,46,87,3,32,92
0,23,17,33,58,63,36,73,59,51,11,46,5,63,87,46,72,54,55,4,26,44,29,21,54,28,14,89,26,95,48,76,18,8,32,57,13,90,8,64,43,76,90,58,57,80,92,88,31,40,82,90,91,60,45,89,17,56,65,37,2,8,53,91,47,66,97,69,98,88,52,48,12,29,71,84,90,43,72,92,62,78,20,9,45,8,40,5,25,73,91,78,44,75,74,92,83,46,87,3,32,92
0,24,17,33,58,63,36,73,59,51,11,46,5,63,87,46,72,54,55,4,26,44,29,21,54,28,14,89,26,95,48,76,18,8,32,48,13,90,8,64,43,76,90,58,57,80,92,88,31,40,82,90,91,60,45,89,17,56,65,37,2,8,53,91,47,66,97,69,98,88,52,48,12,29,71,84,90,43,72,92,62,78,20,9,45,8,40,5,25,73,91,78,44,75,74,92,83,46,87,3,32,92
0,25,17,33,58,63,36,73,59,51,11,46,5,63,87,46,72,54,55,4,26,44,29,21,54,31,14,89,26,95,48,76,18,8,32,48,13,90,8,64,43,76,90,58,57,80,92,88,31,40,82,90,91,60,45,89,17,56,65,37,2,8,53,91,59,66,97,69,98,88,52,48,12,29,71,84,90,43,72,92,62,78,20,9,45,8,40,5,25,73,91,78,44,75,74,92,83,46,87,3,38,92
0,26,17,33,58,63,36,73,59,51,11,46,5,63,87,46,63,54,55,4,26,44,29,21,54,31,14,89,26,95,48,76,18,8,32,48,13,90,8,64,43,76,90,58,57,80,92,88,31,40,82,90,91,65,45,98,17,56,65,37,2,8,53,91,59,66,97,69,98,88,52,48,12,29,71,84,90,43,66,92,62,78,20,9,45,8,40,5,25,73,91,78,44,75,74,92,83,46,87,3,32,92
0,27,17,33,58,63,36,73,59,51,11,46,5,63,87,46,63,54,55,4,26,44,29,21,54,31,14,89,26,95,48,76,18,8,32,48,13,90,8,64,43,76,90,58,57,80,92,88,31,40,82,90,91,65,45,98,17,56,65,37,2,8,53,91,59,66,91,69,98,88,52,48,12,29,71,84,90,43,66,92,62,78,20,9,45,8,40,5,25,73,91,78,44,75,74,92,83,46,91,3,38,92
0,28,17,33,58,63,36,73,59,51,11,46,5,63,87,46,63,54,55,4,26,44,29,21,54,31,14,89,26,95,48,76,18,8,32,48,13,90,8,64,43,76,90,58,57,80,92,88,31,40,82,90,91,65,45,98,17,56,65,37,2,8,53,91,59,66,91,69,98,88,52,48,12,29,71,84,90,43,66,92,62,78,20,9,45,8,40,5,25,73,91,78,44,75,74,92,83,46,91,3,32,92
0,29,17,33,58,63,36,73,59,51,11,46,5,63,87,46,63,54,55,4,26,44,29,21,54,31,14,89,26,95,48,76,18,8,32,48,13,90,8,64,43,76,90,58,57,80,92,88,31,40,82,90,91,65,45,98,17,56,65,37,2,8,53,91,59,66,91,69,98,88,52,48,12,29,71,84,90,43,66,92,62,78,20,9,45,8,40,5,25,73,91,78,44,75,74,89,83,46,91,3,32,92
0,30,17,33,58,63,36,73,59,51,11,46,5,63,87,46,63,54,55,4,26,44,29,21,54,31,14,89,26,95,48,76,18,8,32,48,13,90,8,64,43,76,90,58,57,80,92,88,31,40,82,90,91,65,45,98,17,56,65,37,2,8,53,91,59,66,91,69,98,88,52,48,12,29,71,84,90,43,66,92,62,78,20,9,45,8,40,5,25,73,91,78,44,75,74,89,83,46,91,3,32,92
0,31,17,33,58,63,36,73,59,51,11,46,5,63,87,46,63,54,55,4,26,44,29,21,54,31,14,89,26,95,48,76,18,8,32,48,13,90,8,64,43,76,90,58,57,80,92,88,31,40,82,90,91,65,45,98,17,56,65,37,2,8,53,91,59,66,91,69,98,88,52,48,12,29,71,84,90,43,66,92,62,78,20,9,45,8,40,5,25,73,91,78,44,75,74,89,83,46,91,3,32,92
0,32,17,33,58,63,36,73,59,51,11,46,5,63,87,46,63,54,55,4,26,44,29,21,54,31,14,89,26,95,48,76,18,8,32,48,13,90,8,64,43,76,90,58,57,80,92,88,31,40,82,90,91,65,45,85,17,56,65,37,2,8,53,91,59,66,91,69,98,88,52,48,12,29,71,84,90,43,66,92,62,78,29,9,45,8,40,5,25,73,91,78,44,75,74,89,83,46,88,3,32,92
0,33,17,33,58,63,36,73,59,51,11,46,5,63,87,46,63,54,55,4,26,44,29,21,54,31,14,89,26,95,48,76,18,8,32,48,13,90,8,64,43,76,90,58,57,80,92,88,31,40,82,90,91,65,45,85,17,56,65,37,2,8,53,91,59,66,91,69,98,88,52,48,12,29,71,84,90,43,66,92,62,78,20,9,45,8,40,5,25,73,91,78,44,75,74,92,83,46,91,3,32,92
0,34,17,33,58,63,36,73,59,51,11,46,5,63,87,46,63,54,55,4,26,44,29,21,54,31,14,89,26,95,48,76,18,8,32,48,13,90,8,64,43,76,90,58,57,80,92,88,31,40,82,90,91,65,45,85,17,56,65,37,2,8,53,91,59,66,91,69,98,88,52,48,12,29,71,84,90,43,66,92,62,78,20,9,45,8,40,5,25,73,91,78,44,75,74,92,83,46,88,3,32,92
