Plan ID,Plan Scores,Run-0,Run-1,Run-2,Run-3,Run-4
0,NaN,0,2,1,0,1
1,0.0,2,1,3,0,1
2,0.0,2,0,2,1,2
3,0.0,4,1,0,3,1
4,0.0,3,1,1,3,4
5,0.0,2,1,4,2,1
6,NaN,0,4,3,1,1
7,0.0,1,4,1,3,3
8,0.0,1,0,0,2,1
9,NaN,0,1,0,0,0
10,0.0,2,1,2,1,2
11,NaN,0,0,1,0,0
12,NaN,0,1,0,2,1
13,0.0,1,0,0,0,0
14,NaN,0,0,0,0,0
15,0.0,2,1,2,1,2
16,NaN,0,3,2,2,0
17,NaN,0,1,0,0,0
18,0.0,2,1,2,1,3
19,0.0,2,1,1,2,1
20,NaN,0,1,0,0,1
21,NaN,0,0,0,0,1
22,0.0,1,1,0,1,0
23,NaN,0,0,3,1,1
24,0.0,1,1,1,0,0
25,0.0,2,1,0,1,0
26,0.0,2,2,1,1,0
27,0.0,1,0,1,2,2
28,NaN,0,1,1,1,1
29,0.0,1,1,1,1,2
30,NaN,0,0,1,0,0
31,0.0,2,2,0,2,0
32,NaN,0,0,1,0,1
33,0.0,2,0,1,0,2
34,NaN,0,1,1,1,1
35,0.0,1,0,2,0,2
36,0.0,2,3,2,4,1
37,0.0,1,1,1,2,2
38,NaN,0,2,0,1,1
39,0.0,2,1,1,0,0
40,NaN,0,1,0,0,0
41,NaN,0,1,1,0,0
42,0.0,1,1,0,0,0
43,NaN,0,0,1,2,0
44,NaN,0,1,1,2,1
45,0.0,1,1,1,0,1
46,0.0,2,1,4,2,3
47,0.0,3,2,1,1,2
48,0.0,1,0,1,2,1
49,0.0,2,2,0,1,2
50,0.0,1,1,1,2,2
51,NaN,0,1,0,0,1
52,0.0,1,1,0,2,2
53,NaN,0,2,1,1,0
54,0.0,1,0,1,0,1
55,0.0,2,1,2,1,0
56,NaN,0,1,0,0,0
57,0.0,1,0,0,1,0
58,0.0,1,1,2,2,0
59,0.0,1,1,1,0,2
60,0.0,2,1,0,0,2
61,0.0,1,2,2,1,1
62,NaN,0,3,1,2,1
63,0.0,2,0,1,0,1
64,NaN,0,0,1,1,0
65,0.0,1,1,2,1,2
66,NaN,0,0,0,0,0
67,0.0,1,0,1,2,0
68,0.0,2,3,2,2,1
69,0.0,2,1,1,2,3
70,NaN,0,1,2,2,2
71,0.0,1,0,2,1,1
72,0.0,1,0,0,0,0
73,0.0,2,4,3,2,1
74,0.0,1,0,1,0,2
75,NaN,0,2,0,2,2
76,0.0,1,2,1,1,0
77,0.0,1,0,1,1,0
78,0.0,3,2,1,0,3
79,0.0,2,1,1,3,2
80,0.0,1,1,1,2,2
81,NaN,0,0,1,0,0
82,0.0,1,1,1,0,1
83,0.0,2,1,2,2,1
84,0.0,2,1,2,1,2
85,0.0,3,1,0,1,0
86,NaN,0,1,1,1,2
87,0.0,1,1,1,2,0
88,0.0,1,4,2,2,2
89,NaN,0,0,0,0,1
90,0.0,1,1,1,0,1
91,0.0,2,0,1,0,1
92,NaN,0,0,0,0,0
93,0.0,1,0,0,0,0
94,0.0,1,1,1,2,1
95,NaN,0,0,0,0,1
96,NaN,0,1,0,1,0
97,NaN,0,1,0,0,0
98,NaN,0,1,1,1,0
99,0.0,1,0,1,1,1
