Plan ID,Plan Scores,Run-0,Run-1,Run-2,Run-3,Run-4
0,NaN,0,0,0,0,0
1,0.0,4,3,5,4,4
2,NaN,0,1,0,0,2
3,NaN,0,0,0,0,0
4,0.0,3,1,2,3,3
5,NaN,0,0,0,0,0
6,NaN,0,1,0,0,0
7,0.0,1,1,1,1,1
8,0.0,2,2,2,2,1
9,0.0,2,3,2,2,1
10,0.0,4,4,4,4,4
11,0.0,4,4,4,4,3
12,0.0,3,5,3,4,4
13,0.0,2,2,2,1,2
14,0.0,2,1,2,1,1
15,0.0,1,1,1,1,1
16,0.0,3,2,3,4,4
17,0.0,1,2,1,2,2
18,0.0,1,1,1,1,1
19,0.0,3,2,3,2,2
20,0.0,2,2,2,2,2
21,0.0,1,1,1,2,1
22,0.0,4,3,4,3,4
23,0.0,3,3,3,3,3
24,0.0,1,2,1,1,2
25,0.0,1,1,1,1,1
26,0.0,2,2,2,2,1
27,NaN,0,0,0,0,0
28,NaN,0,0,0,0,0
29,0.0,1,1,1,1,1
30,0.0,2,1,2,3,2
31,0.0,1,1,1,1,1
32,0.0,2,3,2,2,3
33,0.0,2,2,2,2,2
34,0.0,4,5,3,3,3
35,0.0,4,5,5,4,4
36,0.0,1,1,2,1,2
37,0.0,1,1,1,1,0
38,0.0,6,5,5,6,6
39,0.0,5,4,5,5,5
40,0.0,2,2,2,3,2
41,0.0,4,4,4,4,4
42,0.0,3,3,3,3,3
43,0.0,3,3,2,3,2
44,0.0,3,3,3,3,3
45,0.0,4,3,3,3,4
46,NaN,0,0,1,0,1
47,NaN,0,0,0,0,0
48,0.0,1,1,1,1,1
49,0.0,1,2,2,1,1
