Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19
1,30,0,21,78,94,98,39,67,62,10,58,46,97,3,28,99,93,96,36,86,63
1,31,0,21,78,94,98,39,67,62,10,58,46,97,3,28,99,93,94,36,86,63
1,32,0,21,78,94,98,39,67,62,10,58,46,97,3,28,99,97,94,37,86,63
1,33,0,21,78,94,98,39,67,62,10,58,46,97,3,28,99,97,94,36,86,63
1,34,0,21,78,94,98,39,67,62,10,58,46,97,3,28,99,97,94,36,86,63
1,35,0,21,78,94,98,39,67,62,10,58,46,97,3,28,99,97,94,36,86,63
1,36,0,21,78,94,98,39,67,62,10,58,46,97,3,28,98,97,94,37,86,63
1,37,0,21,78,94,98,39,67,62,10,58,46,97,3,28,98,97,94,36,86,63
1,38,0,21,78,94,98,39,67,62,10,58,46,97,3,28,98,97,94,36,86,63
1,39,0,21,78,94,98,39,67,62,10,54,46,97,3,28,98,97,94,36,86,63
2,0,57,58,78,66,59,82,92,26,36,88,80,77,53,9,19,72,24,38,84,10
2,1,47,58,5,6,6,42,95,21,36,48,89,95,83,79,10,12,16,10,17,10
2,2,91,54,59,36,29,63,94,21,36,78,80,97,13,38,10,2,44,60,44,10
2,3,77,54,28,26,86,63,94,21,36,18,39,97,13,38,10,62,96,60,97,10
2,4,67,54,28,46,86,63,94,21,36,68,39,97,13,98,10,62,94,78,97,10
2,5,67,54,28,46,86,63,94,21,36,68,39,97,3,98,10,62,96,78,97,10
2,6,67,54,28,46,86,63,94,21,36,98,39,93,3,98,10,62,94,78,94,10
2,7,67,54,28,46,86,63,94,21,32,98,39,93,3,99,54,62,94,78,94,10
2,8,67,54,28,46,86,63,94,21,32,98,39,93,3,98,50,62,94,78,97,10
2,9,67,54,28,46,86,63,94,21,32,98,39,93,3,98,50,62,94,78,97,10
2,10,67,54,28,46,86,63,94,21,32,98,39,93,3,98,50,62,94,78,97,10
2,11,67,54,28,46,86,63,94,21,32,98,39,93,3,98,50,62,94,78,97,10
2,12,67,54,28,46,86,63,94,21,32,98,39,93,3,98,1,62,94,78,97,10
2,13,67,54,28,46,86,63,94,21,32,98,39,93,3,98,1,62,94,78,97,10
2,14,67,54,28,46,86,63,94,21,32,98,39,93,3,98,1,62,94,78,97,10
2,15,67,54,28,46,86,63,94,21,37,98,39,93,3,98,54,62,94,78,97,10
2,16,67,58,28,46,86,63,94,21,37,98,39,97,3,99,58,62,94,78,97,10
2,17,67,58,28,46,86,63,94,21,37,98,39,97,3,99,58,62,94,78,97,10
2,18,67,58,28,46,86,63,94,21,37,98,39,97,3,99,1,62,94,70,97,10
2,19,67,58,28,46,86,63,94,21,37,98,39,97,3,99,1,62,96,70,97,10
2,20,67,58,28,46,86,63,94,21,37,98,39,97,3,99,1,62,96,70,97,10
2,21,67,58,28,46,86,63,94,21,37,98,39,97,3,99,1,62,96,70,97,10
2,22,67,58,28,46,86,63,94,21,37,98,39,97,3,99,1,62,96,70,97,10
2,23,67,58,28,46,86,63,94,21,37,98,39,97,3,99,1,62,96,70,97,10
2,24,67,58,28,46,86,63,94,21,37,98,39,97,3,99,1,62,96,70,97,10
2,25,67,58,28,46,86,63,94,21,37,98,39,97,3,99,1,62,94,70,97,10
2,26,67,58,28,46,86,63,94,21,37,98,39,97,3,99,1,62,96,70,97,10
2,27,67,58,28,46,86,63,94,21,37,98,39,97,3,99,8,62,96,78,97,10
2,28,67,58,28,46,86,63,94,21,37,98,39,97,3,99,8,62,96,78,97,10
2,29,67,58,28,46,86,63,94,21,37,98,39,97,3,99,8,62,96,78,97,10
2,30,67,58,28,46,86,63,94,21,37,98,39,97,3,99,8,62,96,70,97,10
2,31,67,58,28,46,86,63,94,21,37,98,39,97,3,99,8,62,96,70,97,10
2,32,67,58,28,46,86,63,94,21,37,98,39,97,3,99,50,62,96,70,97,10
2,33,67,58,28,46,86,63,94,21,37,98,39,97,3,98,50,62,96,70,97,10
2,34,67,58,28,46,86,63,94,21,37,98,39,97,3,98,14,62,96,70,97,10
2,35,67,54,28,46,86,63,94,21,36,98,39,97,3,98,8,62,96,70,97,10
2,36,67,54,28,46,86,63,94,21,36,98,39,97,3,98,8,62,94,70,97,10
2,37,67,54,28,46,86,63,94,21,36,98,39,97,3,98,8,62,94,70,94,10
2,38,67,54,28,46,86,63,94,21,36,98,39,97,3,99,4,62,94,70,94,10
2,39,67,54,28,46,86,63,94,21,36,98,39,97,3,99,0,62,94,78,94,10
3,0,78,56,57,75,80,66,88,10,72,9,87,26,30,24,53,58,82,92,32,51
3,1,78,9,47,96,89,6,48,10,52,9,87,21,48,18,83,58,13,94,37,14
3,2,58,26,7,97,89,36,78,10,2,69,57,21,50,44,13,54,63,94,37,17
3,3,58,86,97,97,39,10,18,10,92,38,47,21,90,44,13,54,63,94,36,4
3,4,28,86,67,97,39,26,18,10,62,99,97,21,90,94,13,54,63,94,37,58
3,5,28,86,67,97,39,46,68,10,62,99,97,21,70,96,3,58,63,94,37,18
3,6,28,86,67,97,39,46,98,10,62,99,97,21,70,94,3,54,63,94,36,57
3,7,28,86,67,97,39,46,98,10,62,99,97,21,70,94,3,54,63,94,37,17
3,8,28,86,67,97,39,46,98,10,62,99,97,21,70,94,3,54,63,94,37,17
3,9,28,86,67,97,39,46,98,10,62,99,97,21,70,94,3,54,63,94,37,54
3,10,28,86,67,97,39,46,98,10,62,99,97,21,70,94,3,54,63,94,36,0
3,11,28,86,67,97,39,46,98,10,62,99,97,21,70,94,3,58,63,94,36,10
3,12,28,86,67,97,39,46,98,10,62,99,97,21,70,94,3,54,63,94,37,50
3,13,28,86,67,97,39,46,98,10,62,99,97,21,70,94,3,54,63,94,37,7
3,14,28,86,67,97,39,46,98,10,62,99,97,21,70,94,3,54,63,94,37,54
3,15,28,86,67,97,39,46,98,10,62,99,97,21,70,94,3,54,63,94,37,10
3,16,28,86,67,97,39,46,98,10,62,99,97,21,78,94,3,58,63,94,36,18
3,17,28,86,67,97,39,46,98,10,62,99,97,21,78,94,3,58,63,94,36,0
3,18,28,86,67,97,39,46,98,10,62,99,97,21,78,94,3,58,63,94,36,8
3,19,28,86,67,97,39,46,98,10,62,99,97,21,78,94,3,58,63,94,36,50
3,20,28,86,67,97,39,46,98,10,62,99,97,21,78,94,3,58,63,94,36,5
3,21,28,86,67,97,39,46,98,10,62,99,97,21,78,94,3,58,63,94,36,55
3,22,28,86,67,97,39,46,98,10,62,99,97,21,78,94,3,58,63,94,36,15
3,23,28,86,67,97,39,46,98,10,62,99,97,21,78,94,3,58,63,94,36,50
3,24,28,86,67,97,39,46,98,10,62,99,97,21,78,94,3,58,63,94,36,14
3,25,28,86,67,97,39,46,98,10,62,99,97,21,78,94,3,58,63,94,36,54
3,26,28,86,67,97,39,46,98,10,62,99,94,21,78,94,3,58,63,94,36,50
3,27,28,86,67,97,39,46,98,10,62,99,94,21,78,94,3,58,63,94,36,4
