Iteration,Mean,Stdev,Run-0
0,59.28132218300941,0.0,59.28132218300941
1,59.429166989046394,0.0,59.429166989046394
2,58.90811644784547,0.0,58.90811644784547
3,58.90811644784547,0.0,58.90811644784547
4,58.90811644784547,0.0,58.90811644784547
5,59.05802337706463,0.0,59.05802337706463
6,59.05802337706463,0.0,59.05802337706463
7,59.20709515069275,0.0,59.20709515069275
8,59.05802337706463,0.0,59.05802337706463
9,59.05802337706463,0.0,59.05802337706463
10,59.132662786542795,0.0,59.132662786542795
11,59.28132218300941,0.0,59.28132218300941
12,59.132662786542795,0.0,59.132662786542795
13,59.132662786542795,0.0,59.132662786542795
14,59.05802337706463,0.0,59.05802337706463
15,59.05802337706463,0.0,59.05802337706463
16,59.05802337706463,0.0,59.05802337706463
17,59.05802337706463,0.0,59.05802337706463
18,59.50278807401621,0.0,59.50278807401621
19,59.355345573482694,0.0,59.355345573482694
20,59.355345573482694,0.0,59.355345573482694
21,59.429166989046394,0.0,59.429166989046394
22,59.429166989046394,0.0,59.429166989046394
23,59.429166989046394,0.0,59.429166989046394
24,59.57621045051704,0.0,59.57621045051704
25,59.429166989046394,0.0,59.429166989046394
26,59.429166989046394,0.0,59.429166989046394
27,59.50278807401621,0.0,59.50278807401621
28,59.132662786542795,0.0,59.132662786542795
29,59.132662786542795,0.0,59.132662786542795
30,59.429166989046394,0.0,59.429166989046394
31,59.57621045051704,0.0,59.57621045051704
32,59.7224654581495,0.0,59.7224654581495
33,59.86794456072576,0.0,59.86794456072576
34,59.7224654581495,0.0,59.7224654581495
35,59.57621045051704,0.0,59.57621045051704
36,59.57621045051704,0.0,59.57621045051704
37,59.57621045051704,0.0,59.57621045051704
38,59.429166989046394,0.0,59.429166989046394
39,59.57621045051704,0.0,59.57621045051704
