Iteration,Mean,Stdev,Run-0
0,15.106844940664619,0.0,15.106844940664619
1,15.106844940664619,0.0,15.106844940664619
2,15.106844940664619,0.0,15.106844940664619
3,15.106844940664619,0.0,15.106844940664619
4,15.106844940664619,0.0,15.106844940664619
5,15.106844940664619,0.0,15.106844940664619
6,15.106844940664619,0.0,15.106844940664619
7,15.106844940664619,0.0,15.106844940664619
8,15.106844940664619,0.0,15.106844940664619
9,15.106844940664619,0.0,15.106844940664619
10,15.106844940664619,0.0,15.106844940664619
11,15.106844940664619,0.0,15.106844940664619
12,15.106844940664619,0.0,15.106844940664619
13,15.106844940664619,0.0,15.106844940664619
14,15.106844940664619,0.0,15.106844940664619
15,15.106844940664619,0.0,15.106844940664619
16,15.106844940664619,0.0,15.106844940664619
17,15.106844940664619,0.0,15.106844940664619
18,15.106844940664619,0.0,15.106844940664619
19,15.106844940664619,0.0,15.106844940664619
20,15.106844940664619,0.0,15.106844940664619
21,15.106844940664619,0.0,15.106844940664619
22,15.106844940664619,0.0,15.106844940664619
23,15.106844940664619,0.0,15.106844940664619
24,15.106844940664619,0.0,15.106844940664619
25,15.106844940664619,0.0,15.106844940664619
26,15.106844940664619,0.0,15.106844940664619
27,15.106844940664619,0.0,15.106844940664619
28,15.106844940664619,0.0,15.106844940664619
29,15.106844940664619,0.0,15.106844940664619
30,15.106844940664619,0.0,15.106844940664619
31,15.106844940664619,0.0,15.106844940664619
32,15.106844940664619,0.0,15.106844940664619
33,15.106844940664619,0.0,15.106844940664619
34,15.106844940664619,0.0,15.106844940664619
35,15.106844940664619,0.0,15.106844940664619
36,15.106844940664619,0.0,15.106844940664619
37,15.106844940664619,0.0,15.106844940664619
38,15.106844940664619,0.0,15.106844940664619
39,15.106844940664619,0.0,15.106844940664619
