Unfairness weight,Local cost weight,Global cost weight
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75
0.0,0.25,0.75

