Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4
0,28.285935357833523,0.06045570733831065,28.26605136192365,28.17627317180604,28.340867663406435,28.318137350216993,28.328347241814495
1,25.11493001804273,0.34260659364283597,25.535972053719618,24.597855034119984,25.06299180763266,25.442498074717193,24.935333120024197
2,21.81041715929433,0.4394421064915224,22.12847867473196,21.546019641797773,21.18787590550179,22.44493390074791,21.74477767369222
3,18.114930412148308,0.24437080142892387,18.118549470925274,18.430038045546688,17.91413684410669,18.33165149660518,17.780276203557715
4,18.102428816718774,0.37686480822036844,18.23382931535884,18.75553026058142,17.865003977700802,17.65523745245268,18.00254307750014
5,17.747621776182893,0.42095246490948235,17.456285629625217,18.55270938699738,17.49159056105103,17.45414052499706,17.783382778243798
6,17.37937441559159,0.25127863613869456,17.195794051139757,17.655573534143713,17.416780160585397,17.001420728506663,17.627303603582426
7,17.037721726659157,0.2149186149034661,16.954993659600472,17.250254762977875,17.062818328543177,16.671905944289232,17.248635937885023
8,16.930392029923887,0.3632104353730176,16.979483072512572,17.11836240897429,17.320105030402,16.247162286762237,16.986847350968336
9,16.764534110064197,0.3169854777578044,16.82550225189998,16.63929988968659,17.158442545830503,16.229914105285452,16.96951175761846
10,16.658862822643677,0.20227099503441412,16.697799903733184,16.75718298294471,16.80570314719175,16.260428555923866,16.773199523424875
11,16.520862514280726,0.10013523060969846,16.411828066318805,16.599642777148826,16.676395944324728,16.457129978778834,16.459315804832425
12,16.479466647067632,0.10630441879275494,16.58462458445651,16.53699364562749,16.549723568548814,16.29204288039994,16.433948556305424
13,16.348231878663956,0.11222124011671214,16.351488711853413,16.45611791167703,16.168553844244148,16.4738375706216,16.291161354923585
14,16.16385652867241,0.1320377633395337,16.242389777754646,16.326646836631856,15.934243750231268,16.12875135329878,16.187250925445497
15,16.088531848408735,0.058342802134601676,16.134794929186548,16.00178817154024,16.058836273701985,16.07883991564134,16.168399951973562
16,16.032947974600205,0.08989725522435382,16.07753834308333,15.858981445296212,16.0825915681215,16.108252942501295,16.037375573998688
17,16.00134328501132,0.07159823623819031,16.03917746192445,15.964156385282195,16.08808398859087,15.881903114990914,16.033395474268165
18,15.986356921419986,0.07639738423171272,16.003982240011744,15.914344120632293,16.093584940883876,15.886477831303846,16.033395474268165
19,15.9782379021779,0.08059711511965056,15.986886022887974,15.89084524154564,16.093584940883876,15.886477831303846,16.033395474268165
20,15.974697151465557,0.07872630476708885,15.956385729049135,15.902713826187984,16.093584940883876,15.886477831303846,16.034323429902933
21,15.97642753175354,0.08287587843743233,15.944256604011947,15.902713826187984,16.093584940883876,15.886874575446855,16.05470771223704
22,15.973624306854717,0.08141713396312944,15.944256604011947,15.897537515726153,16.085463934172886,15.886874575446855,16.053988904915737
23,15.962101126789737,0.07052755633855903,15.944959751424687,15.897537515726153,16.075463934172884,15.886874575446855,16.005669857178106
24,15.950767355051365,0.07985751993771498,15.937888149512705,15.888625965288098,16.104576981368815,15.887948126697486,15.934797552389725
25,15.944805897607448,0.07350224703416317,15.937888149512705,15.8944614764267,16.087788413568866,15.889445787793235,15.914445660735744
26,15.942959078101154,0.07427822465933384,15.937888149512705,15.900894881364007,16.087788413568866,15.889445787793235,15.898778158266953
27,15.947738115516856,0.0718107301237256,15.940863709893037,15.915097461353195,16.087788413568866,15.898789965306644,15.896151027462542
28,15.96204213394214,0.065900917479581,15.93901289634245,15.915097461353195,16.08858113451765,15.959918556259947,15.907600621237457
29,15.966911715301473,0.06625504416522032,15.940863709893037,15.915097461353195,16.0886931688501,15.98230361517356,15.907600621237457
30,15.966908054776884,0.06656785442257422,15.940863709893037,15.913581497634512,16.0886931688501,15.98380127626931,15.907600621237457
31,15.966586115691246,0.06645335907108171,15.940863709893037,15.913581497634512,16.08858113451765,15.98230361517356,15.907600621237457
32,15.966696315838686,0.0666019561764336,15.939917049534502,15.913581497634512,16.08858113451765,15.98380127626931,15.907600621237457
33,15.967644901316458,0.06564881249689826,15.937388807401481,15.913581497634512,16.0886931688501,15.98380127626931,15.914759756426887
34,15.969608789132696,0.06361616918777502,15.950082076240633,15.913581497634512,16.085819339092136,15.98380127626931,15.914759756426887
35,15.97021863500505,0.064576507684738,15.950082076240633,15.913868931570772,16.08858113451765,15.98380127626931,15.914759756426887
36,15.96919309783035,0.06346646669392902,15.950082076240633,15.913868931570772,16.085816584917374,15.98143813999609,15.914759756426887
37,15.970342710425536,0.06460218820705309,15.950082076240633,15.913868931570772,16.088578380342888,15.984424407546504,15.914759756426887
38,15.964599496056895,0.0636609328395732,15.950082076240633,15.919045242032603,16.088690414675337,15.948866211976714,15.91631353535919
39,15.953053251984272,0.07028833387878713,15.950082076240633,15.919045242032603,16.088578380342888,15.89124702594604,15.91631353535919
