Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99,agent-100,agent-101,agent-102,agent-103,agent-104,agent-105,agent-106,agent-107,agent-108,agent-109,agent-110,agent-111,agent-112,agent-113,agent-114,agent-115,agent-116,agent-117,agent-118,agent-119,agent-120,agent-121,agent-122,agent-123,agent-124,agent-125,agent-126,agent-127,agent-128,agent-129,agent-130,agent-131,agent-132,agent-133,agent-134,agent-135,agent-136,agent-137,agent-138,agent-139,agent-140,agent-141,agent-142,agent-143,agent-144,agent-145,agent-146,agent-147,agent-148,agent-149,agent-150,agent-151,agent-152,agent-153,agent-154,agent-155,agent-156,agent-157,agent-158,agent-159,agent-160,agent-161,agent-162,agent-163,agent-164,agent-165,agent-166,agent-167,agent-168,agent-169
0,10,88,12,31,51,19,97,19,84,8,10,97,94,7,8,87,1,28,74,24,82,77,73,30,86,72,51,89,51,19,94,49,83,79,22,13,61,80,44,14,87,1,36,43,38,82,33,9,49,55,91,69,11,99,35,89,26,14,8,92,56,59,57,58,30,3,85,88,84,93,83,25,93,86,35,9,41,30,35,90,55,42,12,86,87,48,20,17,9,76,34,14,47,2,11,10,29,78,16,76,63,41,12,7,76,76,43,98,55,80,25,79,86,90,94,6,54,15,76,19,19,14,23,70,93,8,12,32,28,59,34,42,31,15,60,3,63,76,44,47,9,95,0,98,29,93,52,78,75,41,53,41,0,30,62,79,4,61,96,25,6,70,35,81,86,64,84,10,98,98,63
0,11,88,12,31,51,19,97,19,84,8,10,97,94,7,8,87,1,28,74,24,82,77,73,30,86,72,51,89,51,19,94,49,83,79,22,13,61,80,44,14,87,1,36,43,38,82,33,9,47,55,91,66,11,99,35,89,6,14,58,92,56,59,57,58,30,3,85,88,84,93,83,25,93,86,35,9,41,30,35,90,55,42,12,86,87,48,20,17,9,76,34,14,47,2,11,10,29,78,16,76,63,41,12,7,76,76,43,98,55,80,23,70,86,90,44,6,54,15,76,19,19,14,23,70,93,8,12,32,28,59,34,42,31,15,60,3,63,76,44,47,9,95,0,15,29,93,52,78,75,41,53,41,0,30,62,79,4,81,96,25,6,70,35,81,86,64,84,10,98,98,63
0,12,88,12,31,51,19,97,19,84,8,10,97,94,7,48,87,1,78,74,4,82,77,73,30,86,72,51,89,51,19,94,49,83,79,22,13,61,80,44,14,87,1,36,43,38,82,33,9,47,55,91,66,11,99,35,89,6,14,58,92,56,59,57,58,70,73,85,88,84,78,83,25,13,86,35,99,41,30,35,90,55,42,12,86,87,48,20,17,9,76,34,14,47,22,41,10,29,78,16,76,63,41,12,7,76,76,43,98,55,80,23,70,86,90,44,6,24,45,76,19,19,14,69,70,93,8,12,32,28,59,34,42,89,15,60,3,63,76,44,47,9,95,0,15,83,73,87,38,75,41,53,41,31,30,62,79,4,81,76,28,6,70,35,81,86,64,84,16,98,98,63
0,13,98,12,31,51,19,67,79,84,8,10,67,65,7,48,87,1,78,74,14,82,77,53,30,16,72,31,89,51,59,64,99,83,79,76,63,61,80,44,14,87,0,36,43,38,82,33,9,47,55,91,66,11,99,35,89,6,14,58,92,56,59,57,58,70,73,85,88,84,78,83,25,13,86,35,99,41,30,95,70,55,27,12,86,87,38,38,25,9,76,34,19,47,22,41,10,29,78,56,73,63,71,12,3,76,76,73,85,55,80,23,70,86,90,44,6,24,45,76,19,19,14,69,70,23,7,72,32,28,59,34,2,89,15,60,3,33,75,44,47,9,95,0,15,83,73,87,38,79,49,53,41,30,30,12,79,4,81,76,28,6,88,35,81,86,64,84,16,98,90,63
0,14,98,12,31,51,19,67,79,84,8,10,67,65,7,48,87,1,78,74,14,82,77,53,30,16,72,31,89,51,59,64,99,83,79,76,63,61,80,44,14,87,0,36,43,38,82,33,9,47,55,59,67,11,99,35,89,6,14,58,92,56,59,57,58,70,73,85,88,84,78,83,25,13,86,35,99,41,30,95,70,55,27,12,86,87,38,38,25,9,76,34,19,47,22,41,10,29,78,56,73,63,71,12,3,76,76,73,85,55,80,23,74,86,90,44,6,24,45,76,19,19,14,69,70,23,7,72,32,28,59,34,2,89,15,60,3,33,75,44,47,9,95,0,15,83,73,87,38,79,49,53,41,30,30,12,79,4,81,76,28,6,88,35,81,86,64,84,16,18,90,63
0,15,98,14,12,51,30,67,79,84,8,10,67,65,7,48,87,1,78,74,14,82,77,53,30,16,72,31,89,51,59,64,99,83,79,76,63,61,80,44,14,87,0,36,43,38,82,33,9,47,55,59,67,11,99,35,89,6,14,58,92,56,59,57,58,70,73,85,88,84,78,83,25,13,86,35,99,41,30,95,70,5,27,12,86,87,38,36,25,88,96,34,19,47,22,41,10,29,78,56,73,63,71,12,3,76,76,73,85,55,80,23,74,86,90,44,6,24,45,76,19,19,14,69,70,23,7,72,32,28,59,34,2,89,15,60,3,33,75,44,47,9,95,0,15,83,73,87,38,79,49,63,28,30,30,12,79,4,81,76,28,0,81,35,81,86,64,84,16,18,90,63
0,16,98,14,12,51,30,67,79,84,8,10,67,65,7,48,87,1,78,74,14,82,77,53,30,16,72,31,89,51,59,64,99,83,79,76,63,61,80,44,14,87,0,36,43,38,82,33,9,47,55,59,67,11,99,35,89,6,14,58,92,46,58,57,68,70,13,85,88,84,78,68,20,10,86,5,99,41,30,95,70,5,27,12,86,87,38,36,25,88,96,34,19,47,22,41,10,29,78,56,73,63,71,12,3,76,76,73,85,55,80,23,74,86,90,44,6,24,45,76,19,19,14,63,70,23,7,72,32,28,59,34,2,89,15,60,3,33,75,44,47,9,95,0,15,83,73,82,38,79,49,63,28,30,30,12,79,4,81,46,28,0,81,35,81,86,64,84,16,18,90,63
0,17,98,14,12,51,30,67,79,84,8,10,67,65,7,48,87,1,78,74,14,82,77,53,30,16,72,31,89,51,59,64,99,83,79,76,63,61,80,44,14,87,0,36,43,38,82,33,9,47,55,59,67,20,96,77,89,6,14,58,92,46,58,57,68,70,13,85,88,84,78,68,20,10,86,5,99,41,30,95,70,5,27,12,86,87,38,36,25,88,96,34,19,47,22,41,10,29,78,56,73,63,71,12,3,76,76,73,85,55,80,23,74,86,90,44,6,24,45,76,19,19,14,63,70,23,7,72,32,28,59,34,2,89,15,60,3,33,75,44,47,9,95,12,15,83,73,82,38,79,49,63,28,30,30,12,79,4,81,46,28,0,81,35,81,86,64,84,16,18,90,63
0,18,98,14,12,51,30,67,79,84,8,10,67,65,1,48,87,1,78,74,14,82,77,53,30,16,92,31,89,31,56,64,99,83,79,76,63,91,80,44,14,87,0,38,43,38,82,33,9,7,55,51,67,20,96,77,89,4,14,58,92,46,58,57,68,70,13,85,88,93,73,68,20,10,86,5,99,41,30,95,70,5,27,12,6,87,38,36,25,88,36,34,19,17,92,61,10,29,48,56,73,63,71,12,3,46,76,73,58,55,80,23,74,86,90,34,7,24,45,76,19,19,14,63,70,23,7,72,32,28,59,34,2,3,15,10,43,38,75,44,47,39,95,12,65,83,73,87,38,79,41,63,21,30,30,12,79,4,81,46,28,4,81,85,81,86,64,84,18,18,30,63
0,19,98,14,12,51,30,67,79,84,8,10,67,65,1,48,87,1,78,74,14,82,77,53,30,16,92,31,89,31,56,64,99,83,79,76,63,91,80,44,14,87,0,38,43,30,82,33,9,7,55,51,67,20,96,77,89,4,14,58,92,46,58,57,68,70,13,85,88,93,73,68,20,10,86,5,99,41,30,95,70,5,27,12,6,87,38,36,25,88,36,34,19,17,92,61,10,29,48,56,73,63,71,12,3,46,76,73,58,51,80,23,74,86,90,34,7,24,45,76,19,19,14,63,70,23,7,72,32,28,59,34,2,3,15,10,43,38,75,44,47,35,95,12,65,83,73,87,38,79,41,63,21,30,30,12,79,4,81,46,28,4,81,85,81,86,64,84,18,18,30,63
