Plan ID,Plan Scores,Run-0,Run-1,Run-2,Run-3,Run-4
0,NaN,0,1,2,1,2
1,0.0,4,3,4,4,1
2,0.0,1,1,1,1,1
3,0.0,2,1,0,1,2
4,NaN,0,1,0,1,0
5,0.0,1,2,2,1,1
6,0.0,1,1,1,2,1
7,0.0,2,1,1,1,2
8,0.0,2,1,2,0,2
9,0.0,1,2,1,2,2
10,0.0,2,1,2,2,1
11,0.0,3,3,4,4,3
12,0.0,3,5,3,2,4
13,0.0,3,4,5,2,4
14,0.0,1,1,1,1,1
15,0.0,2,1,0,0,1
16,0.0,3,2,3,3,2
17,NaN,0,3,2,1,1
18,0.0,1,0,0,1,1
19,0.0,4,2,2,6,4
20,0.0,1,0,0,1,1
21,NaN,0,2,1,1,1
22,0.0,1,1,2,1,3
23,0.0,2,2,2,2,2
24,0.0,2,3,1,1,1
25,0.0,1,0,1,1,0
26,0.0,1,2,2,2,1
27,NaN,0,0,0,0,0
28,0.0,2,2,2,1,1
29,0.0,2,0,1,2,2
30,0.0,5,5,6,4,3
31,0.0,1,3,3,2,1
32,0.0,4,2,2,3,4
33,0.0,1,1,1,2,3
34,0.0,3,2,2,3,5
35,0.0,2,1,1,4,3
36,0.0,2,7,4,2,2
37,0.0,4,2,1,2,1
38,0.0,3,3,4,3,3
39,0.0,6,5,7,6,6
40,0.0,1,2,2,1,1
41,0.0,2,1,1,4,3
42,0.0,1,4,2,2,1
43,0.0,1,1,2,3,2
44,0.0,4,2,2,2,2
45,0.0,3,3,4,3,3
46,0.0,6,2,3,1,5
47,0.0,1,1,2,1,1
48,0.0,1,3,2,2,1
49,0.0,1,2,1,2,2
