Unfairness weight,Local cost weight,Global cost weight
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85
0.0,0.15,0.85

