Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79
0,17,58,52,11,75,5,60,74,97,98,27,97,10,58,79,49,14,84,92,61,65,1,87,85,22,98,56,47,35,89,27,7,18,34,91,68,33,46,37,58,36,53,24,31,86,29,76,7,18,91,57,84,31,85,87,97,42,41,83,64,64,55,1,36,50,0,31,5,84,32,73,3,51,89,42,13,93,0,33,0,2
0,18,58,52,11,75,5,60,74,97,98,27,97,10,58,79,59,14,84,92,90,65,1,87,85,22,58,56,47,35,80,27,77,18,64,91,68,33,46,58,58,36,53,24,31,86,29,76,97,28,91,97,84,21,85,87,77,42,41,83,69,64,55,1,36,50,0,31,5,83,32,73,3,51,89,42,13,48,90,36,0,2
0,19,58,52,11,75,5,60,74,97,98,27,97,80,58,79,59,14,84,92,90,95,31,87,55,22,58,56,47,35,80,27,77,28,64,91,68,33,46,58,58,36,53,24,31,86,29,70,97,28,91,67,24,21,25,87,77,42,41,83,69,64,55,1,36,50,0,31,5,83,32,73,3,51,89,42,13,48,90,36,0,2
0,20,58,52,11,75,5,60,74,97,98,27,97,80,58,79,59,14,84,92,90,95,31,87,55,22,58,56,47,35,80,27,77,28,64,11,65,33,46,58,58,56,53,24,31,86,29,70,97,28,91,67,24,21,25,87,77,42,41,23,64,64,45,1,36,40,0,31,5,83,30,73,3,51,84,42,13,48,90,33,0,2
0,21,58,52,11,75,5,60,74,97,98,27,97,80,58,79,59,14,84,95,91,95,31,87,55,42,58,56,17,35,80,27,77,28,64,11,65,33,46,58,58,56,53,24,31,86,29,70,97,28,91,67,24,21,25,87,77,42,41,23,64,64,45,1,36,40,0,31,5,83,30,73,3,51,84,42,13,48,90,33,0,2
0,22,58,53,11,75,5,60,74,97,98,27,97,80,58,79,59,14,84,95,91,95,31,87,55,42,58,56,17,35,80,27,77,28,64,11,65,33,46,58,58,56,53,24,31,86,29,70,97,28,91,67,24,21,25,87,77,42,41,23,64,64,45,1,36,40,0,31,5,83,30,73,3,51,84,42,13,48,90,36,0,2
0,23,58,53,11,75,5,60,74,97,98,27,97,80,58,79,59,14,84,95,91,95,31,87,55,42,58,56,17,35,80,27,77,28,64,11,65,33,46,58,58,56,53,24,31,86,29,70,97,28,91,67,24,21,25,87,77,42,41,23,64,64,45,1,36,40,0,31,5,83,30,73,3,51,84,42,13,48,90,36,0,2
0,24,58,53,11,75,5,60,74,97,98,27,97,80,58,79,59,14,84,95,91,95,31,87,55,42,58,56,17,35,89,27,77,28,64,11,65,33,46,58,58,56,53,24,31,86,29,70,97,28,91,67,24,21,25,87,77,42,41,23,64,64,45,1,36,40,0,31,5,84,30,73,3,51,84,42,13,48,90,36,0,2
0,25,58,53,11,75,5,60,74,97,98,27,97,80,58,79,59,14,84,95,91,95,31,87,55,42,58,56,17,35,89,27,77,28,64,11,65,33,46,58,58,56,53,24,31,86,29,70,97,28,91,67,24,21,25,87,77,42,41,23,64,64,45,1,36,40,0,31,5,84,30,73,3,51,84,42,13,48,90,36,0,2
0,26,58,53,11,75,5,60,74,97,98,27,97,80,58,79,59,14,84,95,91,95,31,87,55,42,58,56,17,35,89,27,77,28,64,11,65,33,46,58,58,56,53,24,31,86,29,70,97,28,91,67,24,21,25,87,77,42,41,23,64,64,45,1,36,40,0,31,5,84,30,73,3,51,84,42,13,48,90,33,0,2
