Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99,agent-100,agent-101,agent-102,agent-103,agent-104,agent-105,agent-106,agent-107,agent-108,agent-109
0,11,63,27,23,17,44,43,21,19,85,51,10,81,14,80,91,90,90,52,41,13,29,59,76,79,88,47,90,1,99,54,50,95,45,83,53,64,31,69,30,42,49,56,67,23,16,62,34,37,87,10,67,77,17,81,67,52,72,10,79,93,87,43,47,56,0,67,95,9,87,22,14,87,33,9,65,46,11,5,32,52,39,9,16,76,92,78,50,23,43,41,90,21,70,36,42,51,82,27,59,41,12,74,6,89,62,40,4,88,83,49
0,12,63,27,23,17,44,43,21,19,85,51,10,81,14,80,91,90,90,52,41,13,29,59,76,79,88,47,90,1,99,54,50,95,45,83,53,64,31,69,30,42,49,56,67,23,16,62,34,37,87,80,50,77,11,81,67,52,72,10,79,93,87,43,47,56,0,67,95,9,87,22,14,87,33,9,65,46,11,5,32,52,13,9,16,76,92,78,50,23,43,41,90,21,70,36,42,30,82,27,59,41,12,74,6,89,62,40,4,86,83,49
0,13,23,27,28,17,44,43,21,15,85,81,90,81,14,80,68,90,90,52,41,13,29,59,76,79,88,47,90,1,99,54,50,95,45,83,53,64,31,69,30,42,49,56,67,23,16,62,34,37,87,80,50,77,11,81,67,82,71,10,79,97,17,43,47,56,0,67,95,9,87,22,14,87,33,9,65,46,11,5,32,52,13,9,16,76,62,37,50,23,43,41,90,21,70,36,42,30,82,27,49,41,12,74,6,89,62,40,4,86,83,49
0,14,23,27,28,17,44,43,21,15,85,81,90,81,14,80,68,90,51,2,41,63,19,59,26,79,98,49,90,1,99,54,50,95,45,83,53,64,31,69,30,42,49,56,67,23,16,62,34,37,87,80,50,77,11,81,67,82,71,10,79,97,17,43,47,56,0,67,95,9,87,22,14,87,33,9,65,46,11,5,32,52,13,9,16,76,62,37,50,45,43,61,94,21,70,36,42,30,82,27,49,41,12,74,6,89,62,60,4,86,83,49
0,15,23,27,28,17,44,43,21,15,85,81,90,81,14,80,68,90,51,2,41,63,19,59,26,79,98,49,90,1,99,54,50,97,61,83,43,64,31,69,30,42,49,56,27,23,16,62,54,37,87,80,50,77,11,81,67,82,71,10,79,97,17,43,47,56,0,67,95,9,87,22,14,87,33,9,65,46,11,3,34,52,13,9,16,76,62,37,50,45,43,61,94,71,70,36,92,30,82,27,49,41,12,14,86,89,62,60,4,86,83,49
0,16,23,27,28,17,44,43,21,15,85,81,90,81,14,80,68,90,51,2,42,63,19,59,26,79,98,49,90,1,99,54,50,7,61,83,43,64,61,69,30,42,49,56,27,23,16,62,54,37,87,80,50,79,11,81,67,82,71,10,79,97,17,43,47,56,10,67,95,9,87,22,14,87,33,9,65,46,11,3,34,52,13,79,16,76,62,37,50,49,43,61,94,71,70,36,92,30,32,27,49,41,12,14,86,49,62,51,6,86,83,49
0,17,23,27,28,17,44,43,21,15,80,84,99,82,14,80,27,90,51,4,42,63,19,19,26,79,98,49,90,1,99,54,50,7,61,83,43,64,61,69,30,22,49,55,27,23,16,62,54,37,87,80,50,79,11,81,67,82,71,10,79,87,17,13,47,56,10,67,95,9,87,22,14,87,33,9,65,46,11,3,34,52,13,79,16,76,62,27,50,49,43,61,94,71,70,36,92,30,32,27,47,41,12,14,86,49,62,51,4,86,83,49
0,18,23,27,28,90,44,93,21,15,80,84,99,82,14,80,27,90,51,4,42,63,19,19,26,79,98,49,90,1,99,54,50,7,61,83,43,64,61,69,30,22,49,55,27,23,16,62,54,37,87,80,57,79,11,91,67,92,31,10,74,87,17,13,47,56,10,67,95,9,87,22,14,87,33,9,65,46,11,3,34,52,13,79,16,76,62,27,50,49,43,61,94,71,70,36,92,30,32,27,47,41,12,14,86,49,62,51,4,86,83,49
0,19,23,27,28,90,44,93,21,15,80,84,99,82,14,80,27,90,51,4,42,63,19,19,26,79,98,49,90,1,99,54,50,7,61,83,93,64,61,69,30,22,49,55,27,23,16,62,54,57,87,80,57,79,11,91,67,92,31,10,74,87,17,13,22,56,10,67,95,9,87,22,14,87,33,3,65,46,11,93,34,52,13,79,16,76,62,27,10,49,43,61,94,71,70,36,94,31,32,23,19,41,12,14,86,49,62,51,54,86,83,49
0,20,23,27,28,90,4,93,21,15,80,84,99,82,14,80,27,90,51,4,82,63,59,19,26,79,98,85,90,1,49,54,50,57,61,80,93,64,61,69,30,22,49,55,27,23,16,62,54,57,87,70,50,79,16,91,67,92,31,70,74,87,17,13,22,56,10,97,95,9,27,62,14,87,33,3,65,46,11,93,34,52,11,79,16,76,62,27,10,49,43,61,92,71,70,36,92,31,32,23,19,41,12,14,86,49,62,51,54,86,83,59
0,21,23,27,28,90,4,93,21,15,80,84,99,82,14,80,27,90,51,4,82,63,59,19,26,79,98,85,98,1,49,44,58,57,61,80,93,46,61,69,30,22,59,55,27,23,16,12,54,57,87,70,50,79,16,91,67,92,31,70,74,87,17,13,22,56,10,97,95,39,27,62,14,87,33,33,55,46,11,98,33,52,11,79,16,76,62,27,10,49,43,61,92,71,60,36,92,31,32,23,19,71,12,14,86,49,62,51,56,86,83,59
0,22,23,27,18,90,4,93,21,15,50,84,99,92,14,80,27,90,51,4,82,63,59,19,26,79,98,85,98,1,49,44,58,57,61,80,93,46,61,69,30,22,59,55,27,23,16,12,54,57,87,40,57,89,16,91,57,92,31,70,74,87,17,13,12,56,10,97,95,39,27,62,14,87,33,33,55,46,11,98,33,92,96,59,16,76,2,68,10,49,43,61,92,71,60,36,92,30,39,23,18,71,12,14,86,49,12,51,56,86,83,59
0,23,23,27,18,90,4,93,21,15,50,84,99,92,14,80,27,90,51,24,82,53,59,19,86,78,98,85,10,1,49,44,58,57,61,80,93,48,61,89,30,22,59,55,27,23,16,12,54,57,87,40,57,89,16,91,57,92,31,70,74,87,17,13,12,56,10,99,95,99,27,62,14,67,33,33,85,46,11,98,33,92,96,59,16,76,2,68,10,49,43,61,92,76,60,36,92,30,39,23,18,71,52,14,86,49,12,53,56,86,83,59
