Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4
0,49.62937367918098,0.7310770626900513,48.726443219431935,50.48577642974393,49.999341625360586,50.15120172906355,48.78410539230491
1,42.08147026421481,0.48017702707047577,41.64915454735338,42.48451765447737,41.45554804097792,42.72298419973722,42.095146878528126
2,38.37370428194314,0.5749925262736685,37.61633536725286,38.472749184309166,38.61431345047762,39.262462006598525,37.902661401077516
3,36.266942400478364,0.6251537495810899,35.331073974138036,36.794358590810894,36.957482641276144,36.502352816603256,35.7494439795635
4,34.48058402248013,0.6291900397434564,33.54882004775678,35.17769376416605,35.030727635827084,34.69218311808996,33.95349554656078
5,33.59600092336171,0.5332280392660559,33.461089802745605,32.73402180485026,34.12501497102808,34.19813853714275,33.46173950104185
6,33.45011692359297,0.3887932291259501,33.461089802745605,32.84385796651501,33.92971675154911,33.78311718437844,33.232802912776705
7,33.45296818727443,0.3961042999212818,33.461089802745605,32.84385796651501,33.98142698576229,33.745663268572514,33.232802912776705
8,33.46071263659356,0.4035629809897922,33.461089802745605,32.84385796651501,33.99552914884597,33.7702833520845,33.232802912776705
9,33.44968981714385,0.3893054303677861,33.461089802745605,32.84385796651501,33.94041505159743,33.7702833520845,33.232802912776705
10,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
11,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
12,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
13,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
14,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
15,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
16,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
17,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
18,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
19,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
20,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
21,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
22,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
23,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
24,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
25,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
26,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
27,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
28,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
29,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
30,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
31,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
32,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
33,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
34,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
35,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
36,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
37,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
38,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
39,33.392131751439976,0.3291201167504774,33.461089802745605,32.84385796651501,33.65262472307808,33.7702833520845,33.232802912776705
