Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99,agent-100,agent-101,agent-102,agent-103,agent-104,agent-105,agent-106,agent-107,agent-108,agent-109,agent-110,agent-111,agent-112,agent-113,agent-114,agent-115,agent-116,agent-117,agent-118,agent-119,agent-120,agent-121,agent-122,agent-123,agent-124,agent-125,agent-126,agent-127,agent-128,agent-129,agent-130,agent-131,agent-132,agent-133,agent-134,agent-135,agent-136,agent-137,agent-138,agent-139,agent-140,agent-141,agent-142,agent-143,agent-144,agent-145,agent-146,agent-147,agent-148,agent-149,agent-150,agent-151,agent-152,agent-153,agent-154,agent-155,agent-156,agent-157,agent-158,agent-159
0,10,31,8,8,18,50,78,33,97,85,71,9,50,95,57,20,27,50,58,52,52,24,55,95,88,35,34,13,93,41,90,2,51,83,28,70,28,14,21,65,54,86,94,45,45,77,10,97,28,63,61,90,65,14,74,98,43,96,49,37,76,17,26,75,28,53,20,86,16,61,21,21,97,35,62,26,61,90,61,83,76,42,19,96,61,93,68,96,18,45,70,87,38,4,9,92,81,95,28,22,97,51,85,43,75,55,32,42,86,19,88,24,53,75,81,39,82,14,23,65,45,92,29,90,52,66,93,29,52,63,29,70,93,58,30,98,71,27,17,21,76,68,29,20,40,82,9,2,85,17,95,53,37,31,12,31,38,39,66,8,32
0,11,31,8,8,18,50,78,33,97,85,71,9,50,95,57,20,27,50,58,52,52,24,55,95,88,35,34,13,93,41,90,2,51,83,36,70,28,14,1,65,54,86,94,45,45,77,10,97,28,63,61,90,65,14,74,98,43,96,49,37,6,7,26,75,28,42,20,86,16,61,21,21,97,35,62,26,61,90,61,83,76,42,19,96,61,93,68,96,18,45,70,87,38,4,9,92,81,95,28,22,97,52,85,43,75,55,32,42,86,19,88,24,53,85,81,39,82,14,23,65,45,92,29,90,52,66,93,29,52,63,29,40,93,58,30,98,88,27,17,21,76,68,29,20,40,82,19,2,85,7,95,53,37,31,12,31,38,39,66,8,32
0,12,31,8,8,18,50,78,33,97,85,71,9,50,95,57,20,27,50,58,52,52,24,55,95,88,35,34,13,93,41,90,2,51,83,36,70,28,14,1,65,54,86,94,45,45,77,10,97,28,63,33,0,55,47,74,98,43,96,49,37,6,7,26,75,28,42,40,86,16,1,12,21,97,35,82,26,61,90,61,13,46,62,19,96,61,93,68,96,18,45,70,87,38,4,9,92,81,95,28,22,97,52,85,43,75,55,32,95,86,19,88,24,53,85,81,38,82,15,43,65,45,12,29,90,52,66,93,29,52,63,29,40,93,58,50,98,88,27,17,41,71,58,29,20,40,82,19,2,85,7,95,23,37,31,12,31,36,39,66,8,32
0,13,31,8,40,18,50,78,43,97,85,25,79,20,95,57,20,28,50,34,42,2,24,56,25,88,15,34,13,93,41,30,55,51,83,36,70,28,14,1,65,54,86,94,45,45,77,10,97,28,63,33,0,55,47,74,98,43,96,29,38,6,7,26,25,28,42,40,86,16,1,12,21,97,35,82,26,61,90,61,13,46,62,13,96,61,93,68,96,12,95,70,82,38,54,9,92,1,95,28,22,97,52,85,43,75,55,32,95,86,19,88,24,33,85,81,38,82,15,43,65,45,12,99,90,52,69,93,29,52,83,29,40,93,58,50,98,81,27,17,41,71,58,19,41,60,42,19,2,85,7,95,23,97,31,12,31,36,39,66,3,32
0,14,31,8,40,18,50,78,43,97,85,25,79,20,95,57,20,28,50,34,42,2,24,56,25,88,15,34,13,93,41,30,55,51,83,36,70,28,14,1,65,54,86,97,35,95,76,10,97,18,63,33,0,55,47,34,98,33,30,29,38,6,7,26,25,28,42,40,86,16,1,12,21,97,35,82,26,61,90,61,13,46,62,13,96,61,93,68,96,12,95,70,82,38,54,9,92,1,95,28,22,97,52,85,13,25,58,32,95,86,16,88,24,33,85,81,38,82,15,43,65,45,12,99,90,52,69,93,29,52,83,29,40,93,58,50,98,81,27,17,41,71,58,19,41,60,42,19,2,85,7,95,23,97,31,13,31,36,39,26,3,32
0,15,31,8,40,18,50,78,43,97,85,25,79,20,95,57,20,28,50,34,42,2,24,16,25,58,15,34,13,93,21,30,55,51,33,36,70,28,14,1,65,54,86,97,35,95,76,10,97,18,63,33,0,55,47,34,98,33,30,29,38,6,7,26,25,28,42,40,86,16,1,12,29,37,35,82,26,61,90,61,13,46,62,13,96,61,93,68,96,12,95,70,86,58,54,0,62,25,15,28,22,97,52,85,13,25,58,32,95,86,16,88,24,33,85,81,38,82,13,43,65,45,12,99,90,52,69,93,39,17,83,29,40,93,58,50,98,81,27,17,41,71,58,19,41,70,42,19,2,85,7,85,23,97,31,13,31,36,39,26,1,32
0,16,31,8,40,18,50,78,43,97,85,25,79,20,95,57,20,28,50,34,42,2,24,16,25,58,15,34,13,93,21,30,55,51,33,36,70,28,14,1,65,54,86,97,35,95,76,10,97,18,63,33,0,55,47,34,98,33,30,29,38,6,7,26,25,28,42,40,66,16,51,12,29,37,35,92,61,61,0,51,13,46,62,13,96,61,93,68,96,12,95,70,86,58,54,0,62,25,15,28,22,97,52,85,13,25,58,32,95,86,16,88,24,33,85,51,39,88,49,83,65,45,12,99,90,52,69,93,39,17,83,29,40,93,58,50,98,81,27,17,41,79,58,19,41,70,42,19,2,85,7,85,23,97,31,13,31,36,39,26,1,32
0,17,31,8,40,68,40,78,43,97,85,25,65,90,95,57,9,27,50,34,42,2,24,16,55,58,95,34,13,93,21,33,55,51,33,36,70,28,14,1,65,54,86,97,35,95,76,10,97,18,63,33,0,55,47,34,98,33,30,29,38,6,7,26,25,28,42,40,66,16,51,12,29,37,35,92,61,61,0,51,13,56,62,13,95,61,93,68,96,72,15,0,86,58,58,19,62,23,15,28,22,97,52,85,13,25,58,32,95,86,16,88,24,33,85,51,39,88,49,83,65,45,12,99,90,52,69,83,39,16,13,29,40,93,58,50,98,81,27,17,41,71,58,79,41,70,49,19,2,85,7,85,23,90,31,13,31,38,98,26,81,32
0,18,31,8,40,68,40,78,43,97,85,25,65,90,95,57,9,27,50,34,62,2,24,16,55,58,5,34,13,11,21,33,55,51,33,38,60,28,14,11,65,4,82,97,33,68,76,40,97,18,32,33,0,55,47,34,98,33,30,29,38,6,7,26,25,28,42,40,66,16,51,12,29,37,35,92,61,61,0,51,13,56,62,13,95,61,93,68,96,72,14,0,86,58,58,19,62,23,15,68,62,97,55,25,13,25,55,32,95,86,16,88,24,33,85,51,39,88,49,83,65,45,12,99,90,52,69,83,39,17,13,39,30,93,58,50,98,81,27,17,41,71,58,79,41,70,49,19,2,85,7,85,23,90,31,13,31,38,92,96,83,32
0,19,51,8,40,58,40,78,43,97,85,25,65,90,95,57,9,28,50,34,62,22,24,16,55,58,5,74,13,11,21,33,55,51,33,38,60,28,14,11,65,4,82,97,33,68,76,90,97,18,32,33,0,55,47,34,98,33,30,29,38,96,2,24,25,8,42,40,66,16,51,12,29,37,35,92,91,61,10,51,33,56,62,13,95,61,93,68,96,72,34,0,86,58,58,10,62,23,15,68,62,97,55,25,13,25,55,32,95,86,16,88,44,40,85,51,39,88,49,83,65,45,12,99,90,52,69,83,39,27,13,39,30,93,58,50,98,88,17,17,41,79,18,79,40,70,42,19,2,85,37,85,23,97,31,13,31,38,92,96,81,32
