Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99,agent-100,agent-101,agent-102,agent-103,agent-104,agent-105,agent-106,agent-107,agent-108,agent-109,agent-110,agent-111,agent-112,agent-113,agent-114,agent-115,agent-116,agent-117,agent-118,agent-119
0,0,68,0,55,55,63,57,9,55,2,71,51,70,38,23,10,59,27,25,70,62,92,64,53,63,30,63,88,46,8,92,19,47,40,39,39,55,61,47,66,95,75,41,50,86,8,33,60,9,85,50,9,62,21,39,90,32,20,97,29,40,58,62,75,2,11,32,69,33,75,70,69,28,91,75,43,97,30,31,38,8,1,85,93,36,77,79,22,64,12,95,45,73,19,83,83,82,77,87,71,84,72,15,38,40,22,63,71,72,80,57,22,77,52,88,1,35,95,5,95,72
0,1,62,5,78,21,99,68,47,54,76,70,53,74,36,22,57,51,81,29,59,17,93,68,88,19,29,63,88,46,8,92,19,47,40,39,39,55,61,47,66,95,75,41,50,86,8,33,60,9,85,50,9,62,21,39,90,32,20,49,24,98,55,64,76,0,78,7,63,16,10,75,64,76,98,75,43,97,30,31,38,8,1,85,93,36,77,79,22,64,12,13,42,74,58,51,83,81,36,87,71,84,72,15,38,40,22,80,90,71,80,57,22,77,52,80,7,35,95,9,95,79
0,2,62,5,78,21,99,68,47,54,76,72,53,73,39,24,54,51,89,21,3,18,92,66,30,79,18,97,85,48,2,75,19,49,97,62,45,58,64,47,64,94,78,41,50,86,8,33,60,9,85,50,9,62,21,39,90,32,20,49,24,98,55,64,76,0,78,8,63,76,96,74,60,35,94,22,20,98,87,31,37,15,48,85,93,36,77,79,22,64,12,13,42,74,58,57,86,1,31,84,95,81,75,15,38,40,22,80,90,73,80,58,24,77,52,80,9,46,95,9,90,79
0,3,62,5,78,21,99,68,47,54,76,45,88,11,31,29,51,51,71,29,1,29,97,62,32,99,12,97,85,48,2,75,19,49,97,62,45,58,64,47,64,94,78,41,50,86,8,33,60,9,85,50,9,62,21,39,90,32,20,49,24,98,55,64,76,0,78,67,63,76,99,72,63,36,96,22,20,98,87,31,37,15,48,85,93,36,77,79,22,64,12,13,42,74,58,69,84,7,32,84,95,81,75,15,38,40,22,80,90,74,86,58,24,77,52,80,0,46,95,9,90,75
0,4,62,7,68,61,59,38,17,51,25,45,88,15,37,29,36,52,78,29,1,29,97,62,32,99,12,97,85,48,2,75,19,49,97,62,45,58,64,47,64,94,78,49,64,83,59,30,65,64,85,12,28,72,11,83,96,30,4,49,24,98,55,8,78,76,95,67,67,66,93,72,63,36,96,22,20,98,87,31,37,15,48,89,92,39,23,28,28,57,70,13,42,72,60,62,82,7,32,84,95,81,75,73,33,39,26,80,95,70,86,58,24,33,85,80,9,46,94,39,79,75
0,5,62,7,68,61,59,38,17,51,25,45,88,15,37,29,36,52,78,29,1,29,97,62,32,99,12,97,85,48,2,75,19,49,97,62,45,58,64,47,64,94,78,49,64,83,59,30,65,64,85,10,49,72,16,86,97,34,0,49,24,98,55,8,78,76,95,67,67,66,93,72,63,36,96,22,20,98,87,31,37,15,48,89,92,39,23,63,97,14,75,13,42,72,60,62,82,7,32,84,95,81,75,73,33,37,28,80,95,70,86,58,24,33,36,80,9,46,97,39,79,76
0,6,62,7,68,61,59,38,17,51,25,45,88,15,37,29,36,52,78,29,1,29,97,62,32,99,12,97,85,48,2,75,19,49,97,62,45,58,64,47,64,94,78,49,78,31,57,36,26,64,85,10,49,72,16,88,92,38,3,49,24,98,55,8,78,76,95,67,67,66,93,72,63,36,96,22,20,98,87,31,37,15,48,84,98,34,23,63,97,15,72,13,42,72,60,62,82,7,32,84,95,81,75,73,53,37,29,80,95,70,86,58,24,87,36,80,9,46,97,39,79,76
0,7,62,7,68,61,59,38,17,51,25,45,88,15,37,29,36,52,78,29,1,29,97,62,32,99,12,92,87,48,2,75,19,46,30,62,45,58,64,47,64,94,78,49,78,31,57,36,26,64,85,10,49,72,16,88,92,38,3,49,24,98,55,8,78,76,95,67,67,66,93,72,63,36,96,82,31,98,80,31,37,15,48,84,98,34,23,63,97,15,72,13,42,72,60,62,82,7,32,74,54,81,75,73,53,37,29,80,95,70,86,68,24,87,36,80,9,46,97,39,79,76
0,8,62,7,68,61,59,38,17,51,25,45,88,12,37,29,36,52,38,29,81,29,0,62,92,99,92,92,87,48,68,75,19,46,30,22,5,58,64,47,94,94,70,49,76,31,57,34,26,64,85,10,49,72,16,88,92,38,3,49,24,98,55,8,78,76,95,77,67,66,7,77,63,18,6,82,36,98,80,11,37,85,48,84,94,34,23,63,97,15,72,13,42,72,60,42,82,97,52,74,54,45,95,73,53,37,29,80,95,70,83,68,94,87,36,80,9,46,97,39,79,76
0,9,72,2,98,11,59,38,17,51,65,45,88,12,37,29,36,52,38,29,81,29,0,62,92,99,92,92,87,48,68,75,19,46,30,22,5,58,64,47,94,94,70,49,76,31,57,34,26,64,85,10,49,72,16,88,92,38,3,49,24,39,55,8,28,86,65,77,67,66,7,77,63,18,6,82,36,98,80,11,37,85,48,84,94,34,23,63,97,15,72,13,42,72,80,42,82,97,52,74,54,45,95,73,53,37,29,90,42,70,83,68,94,87,36,70,9,46,97,39,79,26
0,10,72,2,98,11,59,38,17,51,65,45,88,12,37,29,36,52,38,29,81,29,0,62,92,99,92,92,87,48,68,75,19,46,30,22,5,58,64,47,94,94,70,49,76,33,22,30,27,54,85,10,49,72,16,88,92,38,3,49,24,39,55,8,28,86,65,77,67,66,7,77,63,18,6,82,36,98,80,11,37,85,48,84,96,34,45,63,97,15,72,13,42,72,80,42,82,97,52,74,54,45,95,73,53,37,29,90,42,70,83,68,94,87,36,70,9,46,94,39,73,26
