Plan ID,Plan Scores,Run-0,Run-1,Run-2,Run-3,Run-4
0,NaN,0,2,1,3,3
1,0.0,1,0,1,1,1
2,0.0,2,3,1,2,2
3,0.0,4,0,2,2,2
4,0.0,2,2,0,2,1
5,0.0,2,1,2,2,1
6,0.0,4,3,5,4,5
7,0.0,1,2,2,1,2
8,NaN,0,1,2,0,1
9,0.0,2,4,2,1,0
10,0.0,3,3,2,0,3
11,NaN,0,4,1,0,0
12,0.0,3,1,3,5,5
13,0.0,4,1,4,0,0
14,0.0,1,1,1,1,3
15,0.0,1,2,1,0,0
16,0.0,3,2,2,5,2
17,0.0,2,1,1,4,2
18,0.0,1,3,1,3,3
19,0.0,1,1,3,1,1
20,0.0,2,2,2,1,0
21,NaN,0,0,1,2,2
22,0.0,3,1,1,3,1
23,NaN,0,1,1,1,0
24,NaN,0,0,1,0,3
25,0.0,1,0,1,0,0
26,0.0,2,2,0,2,1
27,0.0,1,1,0,0,2
28,0.0,1,1,1,1,0
29,NaN,0,2,2,0,1
30,NaN,0,0,3,1,4
31,0.0,2,1,3,2,1
32,0.0,2,3,2,0,0
33,NaN,0,2,0,2,0
34,0.0,4,4,0,2,2
35,0.0,1,0,2,1,1
36,NaN,0,0,0,0,1
37,0.0,3,1,4,3,2
38,0.0,2,3,0,1,2
39,0.0,1,0,0,2,2
40,NaN,0,1,1,2,3
41,0.0,1,3,1,1,1
42,0.0,2,0,2,0,0
43,0.0,1,0,1,0,0
44,NaN,0,1,1,1,1
45,0.0,1,2,1,3,3
46,0.0,4,2,0,2,0
47,0.0,2,1,2,2,1
48,NaN,0,0,0,0,1
49,0.0,2,3,4,3,3
50,NaN,0,0,1,0,3
51,0.0,2,3,0,2,2
52,0.0,1,2,0,1,1
53,0.0,1,2,4,3,0
54,NaN,0,2,1,2,0
55,0.0,2,0,3,1,1
56,0.0,1,1,1,1,1
57,0.0,1,1,1,0,1
58,0.0,2,0,0,1,1
59,0.0,3,2,1,1,2
60,0.0,3,1,2,1,2
61,NaN,0,1,1,0,1
62,0.0,1,1,0,0,0
63,NaN,0,0,2,0,0
64,0.0,2,2,1,2,0
65,NaN,0,0,0,1,2
66,NaN,0,1,0,0,0
67,0.0,1,1,1,3,2
68,0.0,1,1,2,1,1
69,NaN,0,1,0,0,0
70,NaN,0,0,0,0,2
71,0.0,1,2,1,2,1
72,0.0,1,0,1,2,0
73,NaN,0,2,1,0,3
74,0.0,3,0,1,2,0
75,0.0,2,2,1,2,0
76,NaN,0,1,2,2,2
77,NaN,0,1,2,0,1
78,0.0,2,1,1,0,2
79,0.0,2,2,1,1,0
80,NaN,0,1,2,2,2
81,0.0,1,1,2,1,3
82,0.0,1,2,2,2,1
83,0.0,3,2,3,3,1
84,0.0,3,3,1,1,0
85,NaN,0,0,2,1,0
86,0.0,2,0,1,1,1
87,0.0,2,0,1,0,2
88,0.0,2,3,0,2,4
89,NaN,0,2,0,1,1
90,0.0,2,1,0,0,1
91,0.0,1,4,1,1,1
92,NaN,0,0,1,2,0
93,0.0,1,2,3,0,0
94,0.0,3,1,1,0,1
95,NaN,0,0,0,2,0
96,NaN,0,0,1,0,0
97,NaN,0,1,0,1,1
98,0.0,1,0,3,2,2
99,0.0,1,0,0,2,3
