Plan ID,Plan Scores,Run-0,Run-1,Run-2,Run-3,Run-4
0,0.0,1,0,0,0,0
1,0.0,1,0,0,0,1
2,NaN,0,1,2,1,0
3,0.0,1,0,1,1,1
4,NaN,0,1,0,1,0
5,0.0,1,0,0,0,2
6,0.0,1,1,0,0,0
7,NaN,0,0,0,1,2
8,NaN,0,1,0,0,1
9,NaN,0,0,0,0,0
10,0.0,1,0,1,1,0
11,NaN,0,2,0,2,0
12,NaN,0,0,0,1,0
13,0.0,2,2,1,0,0
14,NaN,0,0,3,0,1
15,0.0,1,0,0,3,0
16,NaN,0,1,1,0,0
17,NaN,0,0,0,1,0
18,0.0,2,1,0,0,1
19,0.0,1,0,0,0,2
20,0.0,1,1,4,1,0
21,0.0,2,1,0,0,2
22,NaN,0,2,1,1,1
23,0.0,2,1,2,1,1
24,NaN,0,0,1,1,0
25,NaN,0,2,0,0,0
26,0.0,1,0,2,1,2
27,NaN,0,2,0,0,0
28,0.0,1,0,0,1,1
29,NaN,0,0,0,1,1
30,0.0,1,0,0,0,0
31,NaN,0,1,0,0,0
32,0.0,1,0,0,0,0
33,NaN,0,0,0,0,0
34,NaN,0,0,0,0,1
35,NaN,0,0,0,0,0
36,0.0,2,2,2,0,1
37,NaN,0,0,0,1,1
38,0.0,1,0,0,0,1
39,NaN,0,1,0,0,0
40,NaN,0,0,1,1,0
41,NaN,0,0,1,1,1
42,0.0,1,0,1,0,0
43,NaN,0,1,1,2,1
44,NaN,0,1,0,1,0
45,0.0,1,0,1,0,0
46,NaN,0,0,0,0,0
47,NaN,0,0,1,0,0
48,NaN,0,0,0,1,0
49,NaN,0,0,0,0,1
50,NaN,0,1,0,0,0
51,NaN,0,2,0,1,1
52,NaN,0,0,0,0,1
53,0.0,1,0,1,1,0
54,0.0,1,0,0,1,0
55,NaN,0,0,0,1,0
56,0.0,1,0,0,0,0
57,NaN,0,1,1,0,1
58,0.0,1,0,0,0,0
59,NaN,0,0,1,0,0
60,NaN,0,2,0,0,0
61,NaN,0,0,1,1,1
62,NaN,0,0,0,1,0
63,0.0,1,0,1,0,0
64,NaN,0,0,0,1,0
65,0.0,2,1,1,0,1
66,NaN,0,1,1,0,1
67,0.0,1,0,0,0,1
68,0.0,1,1,1,2,0
69,NaN,0,2,2,1,1
70,NaN,0,0,0,0,0
71,0.0,1,0,1,1,0
72,NaN,0,0,0,1,1
73,0.0,1,1,0,0,1
74,0.0,1,1,1,0,2
75,NaN,0,0,0,0,0
76,NaN,0,1,0,0,0
77,NaN,0,0,0,1,0
78,0.0,1,0,1,0,1
79,NaN,0,0,0,1,0
80,NaN,0,1,0,0,0
81,NaN,0,0,0,0,0
82,NaN,0,0,0,0,0
83,NaN,0,0,1,1,0
84,0.0,1,0,0,1,0
85,NaN,0,1,1,0,0
86,0.0,1,2,0,1,2
87,0.0,1,0,1,0,0
88,NaN,0,0,0,0,0
89,0.0,1,0,1,0,2
90,NaN,0,0,0,0,0
91,NaN,0,0,0,1,0
92,NaN,0,2,0,0,0
93,0.0,1,0,1,1,1
94,0.0,1,0,0,0,0
95,0.0,1,1,1,0,0
96,NaN,0,0,0,0,1
97,NaN,0,0,0,0,0
98,NaN,0,1,1,2,2
99,NaN,0,0,1,0,0
100,NaN,0,0,0,0,0
101,0.0,1,0,0,0,0
102,0.0,1,0,0,0,0
103,NaN,0,0,1,0,0
104,NaN,0,1,0,1,1
105,0.0,1,1,0,1,2
106,0.0,2,0,0,1,0
107,0.0,1,1,1,2,0
108,NaN,0,0,1,0,0
109,NaN,0,1,1,2,0
110,NaN,0,1,0,0,0
111,NaN,0,1,1,0,0
112,NaN,0,0,1,0,0
113,0.0,1,0,0,0,1
114,NaN,0,0,0,0,0
115,NaN,0,0,0,0,0
116,NaN,0,0,1,0,0
117,0.0,2,0,0,0,2
118,NaN,0,2,0,1,0
119,0.0,1,2,2,1,3
120,NaN,0,0,0,0,0
121,NaN,0,0,1,0,1
122,0.0,1,1,1,0,0
123,0.0,1,0,1,0,0
124,NaN,0,0,0,0,1
125,0.0,1,0,0,0,0
126,NaN,0,2,1,1,1
127,0.0,1,2,0,0,2
128,0.0,1,1,0,0,1
129,0.0,1,0,3,1,1
130,NaN,0,0,0,1,0
131,0.0,1,0,0,0,1
132,NaN,0,0,0,1,0
133,0.0,1,1,1,1,0
134,NaN,0,1,0,3,0
135,NaN,0,0,1,0,0
136,NaN,0,0,0,0,1
137,0.0,1,0,0,1,1
138,0.0,1,0,1,1,0
139,NaN,0,0,0,0,0
140,NaN,0,1,0,1,0
141,0.0,1,0,2,2,1
142,NaN,0,0,1,1,0
143,NaN,0,1,0,0,1
144,NaN,0,1,0,0,0
145,NaN,0,2,1,0,1
146,NaN,0,0,0,0,0
147,0.0,1,0,0,0,0
148,0.0,1,1,0,0,1
149,0.0,1,0,0,0,0
150,NaN,0,0,0,0,1
151,NaN,0,0,0,0,0
152,NaN,0,0,0,0,0
153,NaN,0,0,0,0,0
154,NaN,0,0,0,1,0
155,NaN,0,0,0,0,0
156,0.0,1,0,0,2,0
157,NaN,0,0,0,0,0
158,0.0,1,0,0,0,0
159,NaN,0,0,0,0,1
160,NaN,0,1,0,0,0
161,NaN,0,0,0,0,0
162,NaN,0,1,1,0,0
163,NaN,0,0,1,0,1
164,0.0,1,1,1,0,0
165,0.0,1,0,1,2,1
