Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59
0,23,90,41,12,97,7,40,6,89,3,76,8,41,3,13,85,9,89,4,40,22,88,27,81,45,56,57,44,50,87,41,57,75,27,73,33,64,39,87,11,64,42,35,68,50,53,70,66,45,65,70,76,63,49,68,38,24,67,15,60,78
0,24,90,41,12,97,7,40,6,89,3,76,8,41,3,13,85,9,89,4,40,22,88,27,81,45,56,54,44,50,87,41,57,75,27,73,33,64,39,87,11,64,42,35,68,50,53,70,66,45,65,70,76,63,49,68,38,24,66,15,60,78
0,25,90,41,12,97,7,40,6,89,3,76,8,41,3,13,85,9,89,4,40,22,88,27,81,45,56,54,44,50,87,41,57,75,27,73,33,64,39,87,11,64,42,35,68,50,59,70,66,45,65,70,76,63,42,68,38,24,67,15,60,78
0,26,90,41,12,97,7,40,6,89,3,76,8,41,3,13,85,9,89,4,40,22,88,27,81,45,56,54,44,50,87,41,57,75,27,73,33,64,39,87,11,64,42,35,68,50,59,70,66,45,65,70,76,63,42,68,38,24,67,15,60,78
0,27,90,41,12,97,7,40,6,89,3,76,8,41,3,13,85,9,89,4,40,22,88,27,81,45,56,54,44,50,87,41,57,75,27,73,33,64,39,87,11,64,42,35,68,50,59,70,66,45,65,70,76,63,42,68,38,24,67,15,60,78
0,28,90,41,12,97,7,40,6,84,3,76,8,41,3,13,85,9,89,4,40,22,88,27,81,45,56,54,44,50,87,41,57,75,27,73,33,64,39,87,11,64,42,35,68,50,59,70,66,45,65,70,76,63,49,28,39,24,66,15,60,78
0,29,90,41,12,97,7,40,6,84,3,76,8,41,3,13,85,9,89,4,40,22,88,27,81,45,56,54,44,50,87,41,57,75,27,73,33,64,39,87,11,64,42,35,68,50,59,70,66,45,65,70,76,63,49,58,38,24,66,15,60,78
0,30,90,41,12,97,7,40,6,84,3,76,8,41,3,13,85,9,89,4,40,22,88,27,81,45,56,54,44,50,87,41,57,75,27,73,33,64,39,87,11,64,42,35,68,50,59,70,66,45,65,70,76,63,49,58,38,24,66,15,60,78
0,31,90,41,12,97,7,40,6,84,3,76,8,41,3,13,85,9,89,4,40,22,88,27,81,45,56,54,44,50,87,41,57,75,27,73,33,64,39,87,11,64,42,35,68,50,59,70,66,45,65,70,76,63,49,58,38,24,66,15,60,78
0,32,90,41,12,97,7,40,6,84,3,76,8,41,3,13,85,9,89,4,40,22,88,27,81,45,56,54,44,50,87,41,57,75,27,73,33,64,39,87,11,64,42,35,68,50,59,70,66,45,65,70,76,63,49,58,38,24,67,15,60,78
0,33,90,41,12,97,7,40,6,84,3,76,8,41,3,13,85,9,89,4,40,22,88,27,81,45,56,54,44,50,87,41,57,75,29,73,33,64,39,87,11,64,42,35,68,50,59,70,66,45,65,70,76,63,49,88,38,24,66,15,60,78
0,34,90,41,12,97,7,40,6,84,3,76,8,41,3,13,85,9,89,4,40,22,88,27,81,45,56,54,44,50,87,41,57,75,29,73,33,64,39,87,11,64,42,35,68,50,59,70,66,45,65,70,76,63,49,88,38,24,66,15,60,78
0,35,90,41,12,97,7,40,6,84,3,76,8,41,3,13,85,9,89,4,40,22,88,27,81,45,56,54,44,50,87,41,57,75,29,73,33,64,39,87,11,64,42,35,68,50,56,70,66,45,65,70,76,63,42,88,38,24,67,15,60,78
0,36,90,41,72,97,7,40,6,84,3,76,8,41,3,13,85,9,89,4,40,22,88,27,86,45,56,54,44,50,87,41,57,75,29,73,33,64,49,87,11,64,42,35,68,50,56,70,66,45,61,70,76,63,42,88,38,24,66,15,60,78
0,37,90,41,72,97,7,40,6,84,3,76,8,41,3,13,85,9,89,4,40,22,88,27,86,45,56,54,44,50,87,41,57,75,29,73,33,64,49,87,11,64,42,35,68,50,55,70,66,45,61,70,76,63,42,88,38,24,67,15,60,78
0,38,90,41,72,97,7,40,6,84,3,76,8,41,3,13,85,9,89,4,40,22,88,27,86,45,56,54,44,50,87,41,57,75,29,73,33,64,49,87,11,64,42,35,68,50,55,70,66,45,61,70,76,63,42,88,38,24,67,15,60,78
0,39,90,41,72,97,7,40,6,84,3,76,8,41,3,13,85,9,89,4,40,22,88,27,86,45,56,54,44,50,87,41,57,75,29,73,33,64,49,87,11,64,42,35,68,50,55,70,66,45,61,70,76,63,42,88,38,24,66,15,60,78
1,0,54,81,47,52,2,54,88,25,32,47,76,87,72,1,9,37,69,89,75,22,68,25,58,31,83,85,7,64,5,55,63,56,16,46,17,83,88,85,5,66,78,24,22,59,87,66,3,92,4,32,37,63,75,63,16,58,80,80,5,50
1,1,54,81,47,52,2,54,88,25,32,47,76,87,72,12,1,2,31,65,25,20,67,25,21,21,80,72,6,64,30,55,63,56,16,46,17,83,88,81,27,72,77,24,26,85,23,66,3,92,4,4,37,65,66,63,16,86,69,80,2,50
1,2,56,11,83,54,17,54,83,5,32,40,11,64,74,12,1,2,31,65,25,20,67,22,68,14,58,50,83,64,65,58,64,82,6,48,66,84,81,81,27,72,77,24,29,77,50,90,19,67,82,4,37,65,61,73,36,86,5,80,2,10
1,3,55,72,37,54,14,53,80,95,34,49,84,17,70,12,1,2,31,65,25,20,67,22,68,14,58,50,83,64,65,54,65,86,1,44,41,84,89,81,27,72,77,24,29,77,50,96,77,52,20,4,37,65,61,53,30,86,5,87,2,10
1,4,55,72,37,54,14,53,40,95,39,49,84,17,70,12,1,10,49,15,55,20,69,22,68,14,58,60,77,66,65,54,65,86,1,32,43,84,89,81,80,11,84,24,29,77,0,96,77,56,20,86,74,65,93,53,36,46,75,87,9,10
1,5,55,72,37,54,14,53,40,95,39,49,84,17,70,12,1,10,49,15,55,20,69,12,78,94,58,60,75,67,95,54,65,86,1,32,43,84,89,81,80,11,84,66,29,67,77,96,77,56,20,86,74,88,92,53,36,46,75,87,9,10
1,6,55,72,37,54,14,53,42,55,36,49,84,7,76,12,1,10,49,15,55,20,69,12,78,94,58,60,75,67,95,54,65,86,1,63,1,88,89,81,80,11,84,66,29,67,77,96,77,76,34,86,74,88,92,53,59,46,75,87,9,10
1,7,55,42,17,54,14,53,42,55,36,49,84,7,76,12,3,40,49,15,65,20,60,12,78,94,58,20,75,67,95,54,65,6,51,63,1,88,89,41,83,81,94,86,29,17,97,96,68,76,34,87,15,88,92,23,59,6,75,87,8,70
1,8,55,42,17,54,4,53,42,55,36,44,81,7,66,12,3,40,49,15,65,20,60,12,78,94,58,20,75,67,95,54,65,41,41,63,1,88,89,41,83,81,94,86,29,17,97,86,68,76,34,87,15,88,92,23,59,6,75,87,8,70
