Unfairness weight,Local cost weight,Global cost weight
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55
0.0,0.45,0.55

