Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4
0,71.8583788763392,0.5447329314837983,71.2097798042848,71.95223607316365,71.37505502849099,72.75277005931727,72.00205341643922
1,59.22339961625429,0.4361222894867371,59.43739419533397,58.58746020317534,59.58238581338201,59.68496477219889,58.82479309718119
2,48.40259228843095,0.7794931460174095,49.11091462522461,47.583124239625704,47.364448888939386,48.725617132306084,49.22885655605896
3,42.368933705911125,1.3187866808107194,41.73263439072795,40.226652187775976,42.520371758349384,43.344961360901756,44.02004883180055
4,37.477629788085935,1.3624311162644205,36.81564311030075,35.4974588490415,38.491939651854906,39.42469548497952,37.158411844253024
5,35.22910823688937,0.9952141072583505,35.17042408930329,33.79688306506415,36.2813018037429,36.368845319404684,34.5280869069318
6,33.09721456802714,0.7537123498827623,32.94241667055406,31.973754498114623,34.32836271146459,33.25761098546241,32.98392797454002
7,31.70319745722993,0.6195576807877068,31.588881285903874,30.649527447689966,32.566745498248494,31.89965120496755,31.811181849339746
8,30.62384515092366,0.6017790696636186,30.006900565886156,29.84965389486365,31.270577398030994,31.256207058847956,30.735886836989557
9,30.118148493894285,0.5128556983476288,29.627902644726742,29.41570656502392,30.720056119675753,30.562762891855535,30.26431424818948
10,29.399178411972297,0.45161032001042095,29.18304477896102,28.609609603077306,29.778039928488766,29.781974420906153,29.643223328428245
11,29.004775035556737,0.40571560746676105,28.50118074405819,28.535444964154053,29.216766699265442,29.470967963664393,29.299514806641604
12,28.815694903951634,0.45850106477941227,28.310455263730326,28.219292869811184,29.109522219811094,29.336941635775098,29.10226253063047
13,28.54699121037056,0.4053670701619885,28.05874130961924,28.051559610524322,28.79844962238343,28.969958772148665,28.85624673717713
14,28.39197355341536,0.37081284241491475,28.000716242306023,27.8846583096501,28.73679876996795,28.718026959895802,28.619667485256937
15,28.23349645429269,0.28504538327449763,27.992869433164884,27.874947339280023,28.687332288526544,28.346581054050844,28.265752156441145
16,28.182829254994015,0.25078401112935966,27.992869433164884,27.880542299840897,28.61162920373785,28.19090084068212,28.23820449754432
17,28.176972828591694,0.23992119449254637,27.992869433164884,27.885447139365947,28.583927170706716,28.189405138222387,28.233215261498522
18,28.132032508536803,0.21334062315199814,27.992869433164884,27.871587822452057,28.497769074186685,28.094029745653792,28.203906467226588
19,28.099160763405575,0.20811834828319628,27.992869433164884,27.873370043351002,28.486541021252933,28.034806562819398,28.108216756439667
20,28.033622713206444,0.25373825443500625,27.992869433164884,27.77499147191889,28.486541021252933,27.821868312242657,28.091843327452857
21,28.030958402380623,0.2529225461617402,27.992869433164884,27.776078004387664,28.486541021252933,27.821868312242657,28.077435240854996
22,27.991693320738182,0.2818142256751644,27.992869433164884,27.641274277929778,28.486541021252933,27.821868312242657,28.01591355910065
23,27.985031338702232,0.28694837697035086,27.992869433164884,27.62013262378676,28.486541021252933,27.821868312242657,28.003745303063923
24,27.985031338702232,0.28694837697035086,27.992869433164884,27.62013262378676,28.486541021252933,27.821868312242657,28.003745303063923
25,27.985031338702232,0.28694837697035086,27.992869433164884,27.62013262378676,28.486541021252933,27.821868312242657,28.003745303063923
26,27.985031338702232,0.28694837697035086,27.992869433164884,27.62013262378676,28.486541021252933,27.821868312242657,28.003745303063923
27,27.985031338702232,0.28694837697035086,27.992869433164884,27.62013262378676,28.486541021252933,27.821868312242657,28.003745303063923
28,27.985031338702232,0.28694837697035086,27.992869433164884,27.62013262378676,28.486541021252933,27.821868312242657,28.003745303063923
29,27.985031338702232,0.28694837697035086,27.992869433164884,27.62013262378676,28.486541021252933,27.821868312242657,28.003745303063923
30,27.985031338702232,0.28694837697035086,27.992869433164884,27.62013262378676,28.486541021252933,27.821868312242657,28.003745303063923
31,27.985031338702232,0.28694837697035086,27.992869433164884,27.62013262378676,28.486541021252933,27.821868312242657,28.003745303063923
32,27.985031338702232,0.28694837697035086,27.992869433164884,27.62013262378676,28.486541021252933,27.821868312242657,28.003745303063923
33,27.985031338702232,0.28694837697035086,27.992869433164884,27.62013262378676,28.486541021252933,27.821868312242657,28.003745303063923
34,27.985031338702232,0.28694837697035086,27.992869433164884,27.62013262378676,28.486541021252933,27.821868312242657,28.003745303063923
35,27.985031338702232,0.28694837697035086,27.992869433164884,27.62013262378676,28.486541021252933,27.821868312242657,28.003745303063923
36,27.985031338702232,0.28694837697035086,27.992869433164884,27.62013262378676,28.486541021252933,27.821868312242657,28.003745303063923
37,27.985031338702232,0.28694837697035086,27.992869433164884,27.62013262378676,28.486541021252933,27.821868312242657,28.003745303063923
38,27.985031338702232,0.28694837697035086,27.992869433164884,27.62013262378676,28.486541021252933,27.821868312242657,28.003745303063923
39,27.985031338702232,0.28694837697035086,27.992869433164884,27.62013262378676,28.486541021252933,27.821868312242657,28.003745303063923
