Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39
0,35,94,33,42,44,20,82,98,95,44,10,4,25,96,62,26,57,93,7,36,54,77,26,16,15,66,32,90,4,91,63,68,76,66,78,91,58,9,78,34,36
0,36,94,33,42,44,20,82,98,95,44,10,4,25,96,62,26,57,93,7,36,54,77,26,16,15,66,32,90,4,91,63,68,76,66,78,91,56,9,78,34,31
0,37,94,33,42,44,20,82,98,95,44,10,4,25,96,62,26,57,93,7,36,54,77,26,16,15,66,32,90,4,91,63,68,76,66,78,91,58,9,78,32,31
0,38,94,33,42,44,20,82,98,95,44,10,4,25,96,62,26,57,93,7,36,54,77,26,16,15,66,32,90,4,91,63,68,76,66,78,91,58,9,78,32,31
0,39,94,33,42,44,20,82,98,95,44,10,4,25,96,62,26,57,93,7,36,54,77,26,16,15,66,32,90,4,91,63,68,76,66,78,91,58,9,78,32,31
1,0,62,6,45,76,20,98,56,74,86,43,34,18,81,30,4,71,31,3,67,98,63,66,18,66,80,99,10,6,92,9,94,51,18,61,47,96,32,2,37,30
1,1,62,86,25,78,25,98,41,72,88,1,36,94,51,40,8,79,31,73,67,94,67,56,2,6,80,93,87,2,59,9,85,56,18,44,18,96,82,7,38,31
1,2,62,86,95,78,28,98,76,75,87,90,33,34,1,40,52,78,31,60,7,96,60,96,98,16,80,98,39,9,79,79,87,58,48,34,81,90,82,7,37,31
1,3,64,46,75,70,24,99,71,77,87,90,33,34,1,40,52,78,31,33,7,45,66,36,95,46,80,98,39,9,79,79,7,66,41,34,81,90,62,7,38,31
1,4,64,66,75,70,24,99,71,79,87,75,33,35,91,50,81,78,58,33,2,45,66,36,95,46,80,98,54,2,89,79,7,66,51,24,61,90,62,7,38,31
1,5,44,66,15,70,24,99,71,79,57,75,33,35,91,60,82,78,58,33,7,45,66,36,95,26,80,98,54,3,89,79,2,68,51,24,61,90,62,7,58,38
1,6,44,66,15,70,24,99,71,79,57,75,33,35,91,60,98,78,58,33,7,45,66,36,95,26,80,98,54,2,89,79,2,68,51,24,61,90,62,7,58,38
1,7,34,16,15,70,24,99,71,79,57,60,33,35,91,60,98,74,58,33,47,45,62,36,95,36,80,98,54,2,89,59,77,66,56,74,61,90,62,7,58,38
1,8,34,36,15,70,56,99,71,59,57,60,33,35,41,60,91,74,78,93,47,55,1,36,98,36,30,98,44,2,89,59,77,68,56,74,91,90,62,7,78,31
1,9,34,36,15,70,56,99,61,59,57,60,33,64,41,90,21,74,78,93,44,55,1,36,98,36,70,98,44,92,89,59,43,66,56,74,93,90,62,7,78,31
1,10,34,26,15,70,54,99,61,29,57,60,33,64,44,90,21,74,78,93,44,55,1,36,95,76,0,98,94,92,89,59,43,68,76,4,93,90,22,7,68,31
1,11,34,26,15,78,54,99,61,9,57,60,33,64,44,90,21,74,78,23,44,15,1,36,95,76,90,98,94,92,83,59,42,68,36,8,93,90,22,7,68,31
1,12,34,26,15,70,54,99,61,9,57,60,33,64,44,90,21,74,78,23,44,15,1,36,98,76,10,98,94,92,83,59,43,66,36,8,93,90,22,7,68,31
1,13,34,26,15,70,54,99,61,9,57,60,33,64,44,90,21,74,78,23,44,15,1,36,98,76,10,98,94,92,83,59,43,66,36,8,93,90,22,7,68,38
1,14,34,26,15,70,54,99,61,9,57,60,33,64,44,90,21,74,78,23,44,15,1,36,98,76,10,98,94,92,83,59,43,66,36,8,93,90,22,7,68,31
1,15,34,26,15,70,54,99,61,9,57,60,33,64,44,90,21,74,78,23,44,15,1,36,98,76,10,98,94,92,83,59,43,66,36,8,93,90,22,7,68,31
