Unfairness weight,Local cost weight,Global cost weight
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35
0.0,0.65,0.35

