Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99,agent-100,agent-101,agent-102,agent-103,agent-104,agent-105,agent-106,agent-107,agent-108,agent-109,agent-110,agent-111,agent-112,agent-113,agent-114,agent-115,agent-116,agent-117,agent-118,agent-119,agent-120,agent-121,agent-122,agent-123,agent-124,agent-125,agent-126,agent-127,agent-128,agent-129,agent-130,agent-131,agent-132,agent-133,agent-134,agent-135,agent-136,agent-137,agent-138,agent-139,agent-140,agent-141,agent-142,agent-143,agent-144,agent-145,agent-146,agent-147,agent-148,agent-149
0,10,50,93,89,95,48,94,13,55,83,71,17,83,21,28,36,73,22,77,93,88,72,93,74,23,44,95,7,80,19,62,35,27,13,88,51,48,20,37,46,85,75,19,42,38,69,63,82,4,22,47,97,33,24,75,21,11,44,28,77,56,90,93,0,51,52,50,53,32,71,42,84,47,75,79,23,53,90,92,7,77,16,8,77,9,37,86,44,42,36,31,96,2,80,20,41,67,24,26,41,81,87,35,31,65,49,15,14,38,3,41,19,44,54,66,75,28,65,92,33,26,89,93,49,20,7,69,95,77,50,19,61,62,16,19,40,58,50,88,20,54,91,35,52,28,22,98,18,3,81,68
0,11,70,93,46,45,58,65,78,55,83,71,17,30,61,27,39,73,22,77,93,88,72,93,74,23,44,95,7,80,19,62,35,27,13,88,51,48,20,37,46,85,75,19,42,38,69,63,82,4,22,47,97,33,24,75,21,11,44,28,77,56,90,93,0,51,52,50,53,32,71,42,84,47,75,79,23,53,0,82,66,77,16,8,77,9,37,86,44,42,36,31,96,2,80,20,41,67,24,26,41,81,87,35,31,65,49,15,14,38,3,41,19,44,54,16,75,28,60,92,33,26,89,93,49,20,7,69,95,77,50,19,61,62,16,13,40,58,50,88,20,54,91,65,52,28,22,98,77,3,21,68
0,12,70,93,46,45,58,64,78,55,83,71,17,30,61,27,39,73,22,77,93,88,72,93,74,23,44,95,7,80,19,62,35,27,13,88,51,48,20,37,46,85,75,19,42,38,69,63,82,4,22,84,47,33,24,75,21,11,44,28,77,56,90,93,0,51,52,50,53,32,71,42,84,97,75,99,3,55,0,81,66,77,16,8,77,9,37,86,44,42,36,31,96,2,80,20,41,67,24,26,41,41,87,35,31,65,49,15,14,38,3,41,19,43,24,16,75,28,60,92,33,26,89,93,49,20,7,75,95,77,50,19,61,72,16,13,40,58,50,88,26,54,91,65,52,28,42,98,74,23,21,68
0,13,70,93,46,45,58,64,78,55,83,71,17,30,61,27,39,73,22,77,93,88,72,93,74,23,44,95,7,80,19,62,35,27,13,88,51,48,20,37,46,85,75,19,42,38,69,63,82,4,22,84,47,33,24,75,21,11,44,28,77,56,90,93,0,51,52,50,53,32,1,32,84,97,75,99,3,55,0,81,66,77,16,8,77,9,37,86,44,42,36,31,96,2,80,20,41,67,24,26,41,41,87,35,31,65,49,15,14,38,3,41,19,43,24,16,75,28,60,92,33,26,89,93,49,20,7,75,95,77,50,19,64,72,16,13,40,58,50,88,26,54,96,65,52,28,42,98,74,23,21,68
0,14,70,93,46,45,58,64,78,55,43,71,87,30,61,27,39,75,21,77,93,88,22,23,74,23,44,95,7,80,19,62,35,27,13,88,51,48,20,37,46,85,75,19,42,38,69,63,82,4,22,84,47,33,24,75,21,11,44,28,77,56,90,93,0,51,52,50,53,32,1,32,84,97,75,99,3,55,0,81,66,47,26,8,77,1,27,38,44,42,36,31,96,2,80,20,41,67,24,26,41,41,87,35,31,65,49,15,14,38,3,41,19,43,24,16,75,28,60,92,33,26,89,93,49,20,7,75,95,77,50,19,64,72,16,63,40,58,50,88,26,54,96,65,22,28,42,98,77,23,21,68
0,15,70,93,46,45,58,64,78,55,43,71,87,30,61,27,39,75,21,77,93,88,22,23,74,23,57,15,7,80,19,92,35,23,13,88,51,48,20,37,45,85,75,19,32,38,9,13,82,24,22,74,47,33,45,11,21,11,44,28,77,56,90,93,0,51,52,50,53,32,1,32,84,97,75,99,3,55,0,81,66,47,26,8,77,1,27,38,44,68,46,31,6,5,80,20,1,37,24,26,91,41,87,81,39,65,49,15,14,38,3,41,19,43,24,16,75,28,60,92,33,26,89,43,79,0,77,45,95,77,50,19,64,72,16,63,40,59,70,88,26,54,96,65,22,44,43,98,77,93,21,68
0,16,70,93,46,45,58,64,78,55,43,71,87,30,61,27,39,75,21,77,93,88,22,23,74,23,57,15,7,80,19,92,35,23,13,88,51,48,20,37,45,85,75,19,32,38,9,13,82,24,22,74,47,33,45,11,21,11,84,88,57,84,90,93,30,31,52,90,53,2,1,32,84,97,75,99,3,55,0,81,66,47,26,8,77,1,27,38,44,68,46,31,6,5,80,20,1,37,24,26,91,41,87,81,39,95,59,5,4,31,3,51,49,43,24,16,75,28,60,92,33,26,89,43,79,0,77,45,95,90,99,13,64,72,16,63,40,59,70,88,26,54,86,65,22,44,43,98,77,93,1,68
0,17,70,93,46,45,58,64,78,55,43,71,87,30,61,27,39,75,21,77,93,88,22,23,74,23,27,15,7,60,19,92,35,23,13,88,51,44,20,37,55,85,75,19,62,38,59,13,82,24,22,74,47,33,45,11,21,11,84,88,57,84,90,93,30,31,52,90,53,2,1,32,84,97,75,99,3,55,0,81,66,47,26,8,77,1,27,38,44,62,46,34,6,5,80,86,3,36,24,56,11,41,87,81,39,95,59,5,4,31,3,51,49,43,24,16,75,28,60,92,33,26,19,43,79,7,77,45,95,90,99,13,64,72,16,63,40,59,72,88,26,54,86,65,22,44,43,98,77,13,1,68
0,18,70,93,46,45,58,64,78,50,22,91,7,30,41,27,9,75,21,77,93,88,22,23,74,23,27,15,7,60,19,92,35,23,13,88,51,44,20,37,55,85,75,19,62,38,59,13,82,24,22,74,47,33,45,11,21,11,84,88,57,84,90,93,30,31,52,90,53,2,1,32,84,97,45,99,33,55,0,81,66,47,66,4,70,1,27,38,44,62,46,34,6,5,80,86,3,36,24,56,11,41,87,81,39,95,59,5,4,31,3,51,49,72,47,16,75,28,35,92,33,26,19,43,79,7,77,45,95,90,99,13,64,72,16,63,40,59,72,88,26,54,86,65,28,44,43,98,78,13,1,8
0,19,70,93,46,45,58,64,78,50,22,91,7,30,41,27,9,75,21,77,93,88,22,23,74,73,84,15,7,69,19,92,14,23,43,18,61,44,20,37,55,85,75,19,62,38,59,13,82,64,2,4,77,63,48,41,21,11,84,88,57,84,90,93,30,31,52,90,53,2,1,32,84,97,45,99,33,55,0,81,66,47,66,4,70,1,27,38,44,12,46,92,6,5,70,30,3,36,24,56,11,91,87,41,39,95,59,5,4,31,3,51,49,72,47,16,75,28,35,92,33,26,19,43,79,7,77,5,95,90,99,13,64,72,16,63,40,31,72,88,36,54,86,65,28,45,43,98,78,13,1,8
