Plan ID,Plan Scores,Run-0,Run-1,Run-2,Run-3,Run-4
0,NaN,0,1,1,2,3
1,NaN,0,0,0,1,0
2,0.0,1,0,0,1,0
3,0.0,1,3,3,2,1
4,0.0,2,0,2,0,2
5,0.0,1,3,2,0,2
6,0.0,1,2,1,3,2
7,0.0,2,1,2,0,2
8,0.0,2,3,3,2,0
9,0.0,1,1,0,3,2
10,0.0,1,0,1,1,0
11,0.0,1,3,3,3,0
12,0.0,4,0,1,2,1
13,0.0,3,3,0,2,3
14,0.0,3,2,3,1,2
15,0.0,1,2,0,1,1
16,NaN,0,0,1,2,2
17,NaN,0,0,3,1,1
18,0.0,2,2,0,1,0
19,0.0,1,2,2,0,4
20,NaN,0,3,1,1,1
21,0.0,2,1,2,0,1
22,0.0,1,1,2,5,1
23,0.0,1,0,0,0,0
24,0.0,1,2,2,1,1
25,0.0,1,2,1,2,2
26,0.0,2,0,0,1,3
27,0.0,2,1,2,1,3
28,0.0,1,2,1,0,0
29,0.0,2,0,1,1,0
30,0.0,1,1,4,0,1
31,0.0,3,3,2,2,0
32,NaN,0,1,1,2,1
33,0.0,2,1,0,2,4
34,0.0,2,3,3,1,4
35,0.0,2,3,2,4,1
36,0.0,1,2,1,0,0
37,0.0,3,1,1,4,1
38,0.0,2,0,2,0,2
39,0.0,2,1,0,1,2
40,0.0,3,1,0,1,1
41,NaN,0,0,3,4,1
42,0.0,1,0,1,1,0
43,0.0,3,1,1,1,1
44,0.0,1,3,3,1,2
45,0.0,2,3,1,4,2
46,0.0,1,0,1,0,1
47,NaN,0,2,0,0,1
48,0.0,4,1,2,0,2
49,0.0,1,1,0,0,1
50,0.0,1,2,0,4,2
51,0.0,2,3,4,2,1
52,0.0,1,3,1,1,1
53,NaN,0,0,0,1,1
54,0.0,3,3,4,1,4
55,NaN,0,0,1,1,1
56,0.0,2,1,1,2,1
57,0.0,2,3,1,0,1
58,0.0,1,0,1,2,0
59,0.0,1,0,2,1,3
60,0.0,2,1,2,1,3
61,0.0,1,5,1,2,0
62,0.0,1,0,0,1,1
63,0.0,1,1,3,2,3
64,0.0,2,1,1,1,0
65,0.0,2,4,2,1,3
66,0.0,2,0,1,2,2
67,0.0,3,1,2,2,1
68,NaN,0,1,2,1,0
69,NaN,0,1,1,2,2
70,0.0,6,2,4,5,3
71,0.0,1,4,3,5,7
72,0.0,3,2,1,0,2
73,0.0,3,3,4,1,3
74,0.0,2,2,3,1,1
75,0.0,1,2,1,3,0
76,0.0,3,5,5,1,4
77,0.0,2,3,0,3,2
78,0.0,3,1,2,4,2
79,0.0,1,0,1,1,0
80,NaN,0,0,2,1,1
81,0.0,4,2,3,2,3
82,0.0,1,3,1,0,2
83,0.0,1,1,0,1,0
84,NaN,0,2,1,2,0
85,0.0,1,0,1,1,1
86,NaN,0,1,1,1,2
87,0.0,1,0,0,1,1
88,0.0,1,1,1,3,2
89,NaN,0,2,2,0,0
90,0.0,3,1,1,1,0
91,0.0,2,3,4,2,2
92,0.0,1,1,2,1,1
93,0.0,3,1,2,0,5
94,0.0,1,1,1,1,1
95,0.0,2,3,4,4,1
96,0.0,1,1,0,3,1
97,0.0,1,3,1,2,2
98,0.0,1,1,1,2,2
99,NaN,0,1,0,0,1
