Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29
0,0,51,206,63,90,111,124,177,8,138,175,141,199,75,165,85,170,223,9,144,11,219,157,7,204,128,103,112,198,155,62
0,1,51,206,63,90,111,124,177,8,138,175,141,199,75,165,85,170,223,9,144,11,219,157,7,204,128,103,112,198,155,62
0,2,51,206,63,90,111,124,177,8,138,175,141,199,75,165,85,170,223,9,144,11,219,157,7,204,128,103,112,198,155,62
0,3,51,206,63,90,111,124,177,8,138,175,141,199,75,165,85,170,223,9,144,11,219,157,7,204,124,103,112,198,155,62
0,4,51,206,63,90,111,124,177,8,138,175,141,199,75,165,85,170,223,9,144,11,219,157,7,204,132,103,112,198,156,62
0,5,51,206,63,90,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,156,62
0,6,51,206,63,90,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,156,62
0,7,51,206,63,90,111,124,177,8,138,175,141,199,75,165,88,168,223,9,144,11,219,157,7,204,132,103,112,198,155,62
0,8,51,206,67,90,111,124,177,8,138,175,141,199,75,165,88,168,223,9,144,11,219,157,7,204,132,103,112,198,155,62
0,9,51,206,67,90,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,155,62
0,10,51,206,67,90,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,155,62
0,11,51,206,67,90,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,155,62
0,12,51,206,67,90,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,155,62
0,13,51,206,67,90,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,155,62
0,14,51,206,67,90,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,156,62
0,15,51,206,67,90,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,124,103,112,198,156,62
0,16,51,206,67,90,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,124,103,112,198,155,62
0,17,51,206,67,90,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,155,62
0,18,51,206,67,90,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,155,62
0,19,51,206,67,90,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,128,103,112,198,155,62
0,20,51,206,67,90,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,124,103,112,198,156,62
0,21,51,206,67,90,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,128,103,112,198,156,62
0,22,51,206,67,90,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,128,103,112,198,156,62
0,23,51,206,67,90,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,156,62
0,24,51,206,67,90,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,156,62
0,25,51,206,67,90,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,156,62
0,26,51,206,67,90,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,156,62
0,27,51,206,67,90,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,156,62
0,28,51,206,67,90,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,156,62
0,29,51,206,67,101,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,156,62
0,30,51,206,67,101,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,156,62
0,31,51,206,67,101,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,124,103,112,198,156,62
0,32,51,206,67,101,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,124,103,112,198,155,62
0,33,51,206,67,101,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,124,103,112,198,156,62
0,34,51,206,67,101,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,155,62
0,35,51,206,67,101,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,155,62
0,36,51,206,67,101,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,155,62
0,37,51,206,67,101,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,155,62
0,38,51,206,67,101,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,155,62
0,39,51,206,67,101,111,124,177,8,138,175,141,199,75,165,85,168,223,9,144,11,219,157,7,204,132,103,112,198,156,62
1,0,9,199,11,124,157,8,96,223,147,155,204,219,88,53,112,198,144,206,141,175,179,7,103,62,111,75,124,62,177,168
1,1,9,199,11,124,157,8,96,223,147,155,204,219,88,53,112,198,144,206,141,175,179,7,103,63,111,75,124,62,177,168
1,2,9,199,11,124,157,8,96,223,147,155,204,219,88,53,112,198,144,206,141,175,179,7,103,62,111,75,124,62,177,170
1,3,9,199,11,124,157,8,96,223,147,155,204,219,88,53,112,198,144,206,141,175,179,7,103,62,111,75,128,62,177,168
1,4,9,199,11,124,157,8,96,223,147,155,204,219,88,53,112,198,144,206,141,175,179,7,103,62,111,75,124,62,177,170
