Plan ID,Plan Scores,Run-0,Run-1,Run-2,Run-3,Run-4
0,NaN,0,1,0,1,1
1,NaN,0,0,0,0,1
2,NaN,0,0,0,2,0
3,0.0,1,0,1,0,0
4,NaN,0,2,0,0,2
5,0.0,1,0,1,0,0
6,0.0,1,1,2,0,1
7,NaN,0,0,0,1,0
8,0.0,1,1,1,0,1
9,0.0,1,0,0,1,0
10,NaN,0,2,0,1,0
11,0.0,1,0,1,0,0
12,0.0,1,0,1,0,1
13,NaN,0,0,0,0,0
14,NaN,0,1,0,0,0
15,NaN,0,0,1,1,0
16,0.0,1,0,1,0,1
17,NaN,0,0,0,1,0
18,0.0,1,1,1,0,1
19,0.0,1,0,1,2,1
20,NaN,0,0,1,1,0
21,NaN,0,0,0,0,2
22,0.0,1,1,0,0,1
23,0.0,1,0,0,0,0
24,NaN,0,2,1,0,1
25,0.0,2,2,1,0,0
26,NaN,0,1,0,1,0
27,NaN,0,1,0,2,1
28,NaN,0,1,1,0,1
29,0.0,1,0,1,0,0
30,NaN,0,1,1,0,1
31,0.0,1,0,0,0,0
32,0.0,2,0,1,0,1
33,NaN,0,0,0,1,0
34,NaN,0,2,1,2,0
35,0.0,1,1,0,0,0
36,0.0,1,0,1,0,1
37,0.0,1,0,0,0,0
38,NaN,0,0,1,2,2
39,NaN,0,0,0,0,0
40,0.0,1,2,0,1,0
41,0.0,1,0,1,1,0
42,0.0,2,2,1,3,0
43,NaN,0,0,0,0,0
44,0.0,1,0,2,1,2
45,NaN,0,0,0,0,1
46,0.0,2,0,1,1,1
47,NaN,0,0,0,0,0
48,NaN,0,2,0,0,0
49,NaN,0,1,1,0,1
50,NaN,0,0,1,0,0
51,NaN,0,1,0,0,2
52,NaN,0,1,0,0,0
53,0.0,2,1,0,1,0
54,NaN,0,1,1,1,1
55,0.0,1,0,0,1,0
56,NaN,0,1,0,1,0
57,0.0,1,3,1,0,0
58,NaN,0,0,0,0,1
59,NaN,0,0,3,2,1
60,NaN,0,1,0,0,0
61,0.0,3,0,1,1,1
62,NaN,0,1,0,0,1
63,0.0,2,0,3,1,2
64,NaN,0,0,0,1,2
65,0.0,1,1,0,1,1
66,NaN,0,1,0,0,1
67,0.0,1,0,1,1,0
68,NaN,0,0,0,0,1
69,0.0,2,1,1,0,1
70,NaN,0,0,1,1,1
71,NaN,0,1,0,0,0
72,0.0,1,0,3,1,2
73,0.0,1,1,0,0,0
74,NaN,0,1,0,0,0
75,0.0,1,1,1,1,1
76,0.0,1,1,1,1,0
77,NaN,0,0,0,1,0
78,NaN,0,0,0,0,0
79,NaN,0,0,0,0,0
80,NaN,0,2,0,1,1
81,NaN,0,0,1,0,0
82,0.0,1,0,1,2,0
83,NaN,0,0,0,0,1
84,0.0,1,1,1,1,1
85,NaN,0,0,1,1,1
86,NaN,0,0,0,1,0
87,0.0,1,0,0,1,1
88,0.0,1,1,0,1,0
89,0.0,1,1,1,0,0
90,0.0,1,0,0,0,1
91,0.0,1,1,0,1,0
92,0.0,1,0,0,2,0
93,NaN,0,0,0,0,0
94,0.0,1,0,0,1,1
95,NaN,0,0,1,1,0
96,NaN,0,0,0,0,0
97,NaN,0,0,0,1,0
98,NaN,0,0,0,0,0
99,NaN,0,1,0,0,2
100,NaN,0,0,1,0,0
101,NaN,0,0,1,1,0
102,0.0,1,0,1,0,0
103,NaN,0,2,0,2,1
104,0.0,1,0,0,0,1
105,NaN,0,1,1,0,2
106,0.0,1,1,0,1,1
107,NaN,0,0,1,1,1
108,NaN,0,0,1,0,0
109,0.0,3,1,1,1,1
110,NaN,0,0,1,0,1
111,0.0,2,2,1,1,0
112,0.0,1,1,2,3,0
113,NaN,0,0,0,0,0
114,NaN,0,1,0,1,1
115,NaN,0,1,0,0,0
116,NaN,0,0,0,1,0
117,0.0,1,0,1,0,1
118,0.0,1,1,0,0,2
119,NaN,0,0,0,0,0
120,NaN,0,0,0,1,0
121,NaN,0,0,0,0,1
122,0.0,2,0,0,0,1
123,NaN,0,1,2,2,0
124,NaN,0,0,1,1,0
125,NaN,0,0,1,1,0
126,NaN,0,1,0,0,0
127,0.0,2,1,1,1,1
128,NaN,0,0,0,0,0
129,NaN,0,2,1,1,0
130,NaN,0,0,0,2,1
131,NaN,0,0,1,0,0
132,0.0,1,2,1,1,5
133,0.0,1,0,3,0,1
134,NaN,0,2,0,1,3
135,0.0,1,0,2,2,0
136,0.0,2,3,1,0,0
137,0.0,2,0,0,1,0
138,NaN,0,1,1,0,0
139,0.0,2,4,2,4,0
140,0.0,1,0,1,1,1
141,NaN,0,0,0,1,1
142,0.0,3,1,1,0,1
143,NaN,0,2,1,2,1
144,0.0,1,1,3,0,1
145,NaN,0,0,0,0,0
146,NaN,0,1,1,0,1
147,NaN,0,0,0,0,1
148,NaN,0,0,0,0,1
149,NaN,0,2,1,0,0
150,0.0,1,0,2,1,2
151,NaN,0,0,0,0,0
152,0.0,2,0,1,1,0
153,0.0,1,2,0,1,1
154,0.0,1,0,0,0,0
155,0.0,3,1,0,0,1
156,NaN,0,1,0,0,0
157,0.0,1,0,0,1,0
158,NaN,0,0,1,0,2
159,NaN,0,1,1,1,0
160,0.0,1,3,1,1,1
161,0.0,3,0,1,1,1
162,NaN,0,0,1,0,1
163,NaN,0,0,0,0,0
164,0.0,2,3,0,1,0
165,NaN,0,0,1,0,0
166,NaN,0,0,0,1,1
167,0.0,2,1,3,1,3
168,NaN,0,0,0,0,0
