Run,Iteration,dim-0,dim-1,dim-2,dim-3,dim-4,dim-5,dim-6,dim-7,dim-8,dim-9,dim-10,dim-11,dim-12,dim-13,dim-14,dim-15,dim-16,dim-17
-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,156.19609032900325,267.03051947455054,15.0,172.0,262.9954735228421,632.0,10.0,10.0,10.0,1.0,1.0,1.0
0,0,1.0,0.0,1.0,3.0,1.0,0.0,191.98010738635205,300.57953800594294,27.323600096047116,112.24357783500464,197.14158159484825,561.1631328591075,1.0,1.0,1.0,3.0,3.0,5.0
0,1,1.0,0.0,1.0,1.0,3.0,0.0,191.98010738635205,300.57953800594294,27.323600096047116,125.5026700156412,258.2111193565141,599.865018867636,3.0,3.0,1.0,3.0,3.0,5.0
0,2,2.0,0.0,1.0,1.0,2.0,0.0,191.98010738635205,300.57953800594294,27.323600096047116,125.5026700156412,258.2111193565141,599.865018867636,3.0,3.0,1.0,3.0,3.0,5.0
0,3,2.0,0.0,1.0,1.0,2.0,0.0,191.98010738635205,300.57953800594294,31.276372973667264,125.5026700156412,258.2111193565141,599.865018867636,3.0,3.0,1.0,3.0,3.0,5.0
0,4,2.0,0.0,1.0,1.0,2.0,0.0,191.98010738635205,300.57953800594294,31.276372973667264,125.5026700156412,258.2111193565141,599.865018867636,3.0,3.0,1.0,3.0,3.0,5.0
0,5,2.0,0.0,1.0,1.0,2.0,0.0,191.98010738635205,300.57953800594294,31.276372973667264,125.5026700156412,258.2111193565141,599.865018867636,3.0,3.0,1.0,3.0,3.0,5.0
0,6,2.0,0.0,1.0,1.0,2.0,0.0,191.98010738635205,300.57953800594294,31.276372973667264,125.5026700156412,258.2111193565141,599.865018867636,3.0,3.0,1.0,3.0,3.0,5.0
0,7,2.0,0.0,1.0,1.0,2.0,0.0,191.98010738635205,300.57953800594294,31.276372973667264,125.5026700156412,258.2111193565141,599.865018867636,3.0,3.0,1.0,3.0,3.0,5.0
0,8,2.0,0.0,1.0,1.0,2.0,0.0,191.98010738635205,300.57953800594294,31.276372973667264,125.5026700156412,258.2111193565141,599.865018867636,3.0,3.0,1.0,3.0,3.0,5.0
0,9,2.0,0.0,1.0,1.0,2.0,0.0,191.98010738635205,300.57953800594294,31.276372973667264,125.5026700156412,258.2111193565141,599.865018867636,3.0,3.0,1.0,3.0,3.0,5.0
0,10,2.0,0.0,1.0,1.0,2.0,0.0,191.98010738635205,300.57953800594294,31.276372973667264,125.5026700156412,258.2111193565141,599.865018867636,3.0,3.0,1.0,3.0,3.0,5.0
0,11,2.0,0.0,1.0,1.0,2.0,0.0,191.98010738635205,300.57953800594294,31.276372973667264,125.5026700156412,258.2111193565141,599.865018867636,3.0,3.0,1.0,3.0,3.0,5.0
0,12,2.0,0.0,1.0,1.0,2.0,0.0,191.98010738635205,300.57953800594294,31.276372973667264,125.5026700156412,258.2111193565141,599.865018867636,3.0,3.0,1.0,3.0,3.0,5.0
0,13,2.0,0.0,1.0,1.0,2.0,0.0,191.98010738635205,300.57953800594294,31.276372973667264,125.5026700156412,258.2111193565141,599.865018867636,3.0,3.0,1.0,3.0,3.0,5.0
0,14,2.0,0.0,1.0,1.0,2.0,0.0,191.98010738635205,300.57953800594294,31.276372973667264,125.5026700156412,258.2111193565141,599.865018867636,3.0,3.0,1.0,3.0,3.0,5.0
