Iteration,Mean,Stdev,Run-0
0,20.26411625099253,0.0,20.26411625099253
1,19.96191550312171,0.0,19.96191550312171
2,19.245701631386652,0.0,19.245701631386652
3,18.832449441147162,0.0,18.832449441147162
4,18.61982418592367,0.0,18.61982418592367
5,18.513315177613734,0.0,18.513315177613734
6,18.352226785815176,0.0,18.352226785815176
7,18.285112135327353,0.0,18.285112135327353
8,18.2117069189341,0.0,18.2117069189341
9,18.109635248969443,0.0,18.109635248969443
10,18.00977404503859,0.0,18.00977404503859
11,17.982841243328597,0.0,17.982841243328597
12,17.924743951391232,0.0,17.924743951391232
13,17.903263765657695,0.0,17.903263765657695
14,17.78990928956664,0.0,17.78990928956664
15,17.758220309544893,0.0,17.758220309544893
16,17.714409285419116,0.0,17.714409285419116
17,17.66297622170583,0.0,17.66297622170583
18,17.60400818540334,0.0,17.60400818540334
19,17.572625464726094,0.0,17.572625464726094
20,17.530510602839087,0.0,17.530510602839087
21,17.49815453706497,0.0,17.49815453706497
22,17.469107627550166,0.0,17.469107627550166
23,17.41253508827027,0.0,17.41253508827027
24,17.405663221087377,0.0,17.405663221087377
25,17.381244032897293,0.0,17.381244032897293
26,17.363456940844767,0.0,17.363456940844767
27,17.344771884992173,0.0,17.344771884992173
28,17.29055799487683,0.0,17.29055799487683
29,17.258834364844144,0.0,17.258834364844144
30,17.195791447756417,0.0,17.195791447756417
31,17.15879612006544,0.0,17.15879612006544
32,17.138337167537273,0.0,17.138337167537273
33,17.115637821752014,0.0,17.115637821752014
34,17.095786765337063,0.0,17.095786765337063
35,17.01390134197032,0.0,17.01390134197032
36,17.022540254801914,0.0,17.022540254801914
37,17.024444094715122,0.0,17.024444094715122
38,17.022496303889064,0.0,17.022496303889064
39,17.022496303889064,0.0,17.022496303889064
