Iteration,Mean,Stdev,Run-0
0,83.74949373318987,0.0,83.74949373318987
1,72.33477198419725,0.0,72.33477198419725
2,59.680907367979394,0.0,59.680907367979394
3,55.21493657764351,0.0,55.21493657764351
4,52.1692113920614,0.0,52.1692113920614
5,48.6854150485871,0.0,48.6854150485871
6,46.83165651379971,0.0,46.83165651379971
7,45.70947102373562,0.0,45.70947102373562
8,44.56649170946592,0.0,44.56649170946592
9,43.79297908051685,0.0,43.79297908051685
10,42.866036459276394,0.0,42.866036459276394
11,42.28447410424789,0.0,42.28447410424789
12,41.951629647791066,0.0,41.951629647791066
13,41.55053874405032,0.0,41.55053874405032
14,41.068510657579196,0.0,41.068510657579196
15,40.72409992399847,0.0,40.72409992399847
16,40.57302814322553,0.0,40.57302814322553
17,40.50268016883571,0.0,40.50268016883571
18,40.37703488527805,0.0,40.37703488527805
19,40.25079218546972,0.0,40.25079218546972
20,40.16796819205472,0.0,40.16796819205472
21,40.09726292479917,0.0,40.09726292479917
22,40.04750465013378,0.0,40.04750465013378
23,40.00809803812134,0.0,40.00809803812134
24,39.97868597027029,0.0,39.97868597027029
25,39.94934896984048,0.0,39.94934896984048
26,39.912451751590154,0.0,39.912451751590154
27,39.80635923836145,0.0,39.80635923836145
28,39.791827881509064,0.0,39.791827881509064
29,39.75847649796086,0.0,39.75847649796086
30,39.70417545593024,0.0,39.70417545593024
31,39.64984083497416,0.0,39.64984083497416
32,39.615962519196245,0.0,39.615962519196245
33,39.59758647629632,0.0,39.59758647629632
34,39.55124028311615,0.0,39.55124028311615
35,39.50162570272602,0.0,39.50162570272602
36,39.49773288884358,0.0,39.49773288884358
37,39.488385136580604,0.0,39.488385136580604
38,39.488385136580604,0.0,39.488385136580604
39,39.488385136580604,0.0,39.488385136580604
