Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99
0,0,35,0,52,92,33,60,72,79,79,85,3,93,11,17,64,34,25,30,81,56,49,75,4,57,18,38,72,51,52,66,94,33,16,9,59,82,68,11,99,26,21,58,13,86,73,37,72,51,25,95,21,70,34,84,37,68,8,30,76,49,68,58,42,76,62,21,98,52,46,65,97,4,9,37,67,11,62,55,40,24,28,74,87,25,83,49,59,75,1,65,38,19,13,72,1,76,87,6,36,93
0,1,28,5,52,19,39,67,61,66,40,86,4,94,2,17,64,31,31,36,20,46,51,75,4,57,18,38,72,51,52,66,94,33,16,9,59,82,68,11,99,26,21,58,13,86,73,36,78,40,81,91,45,70,21,81,3,63,13,32,29,42,70,58,42,76,62,21,98,52,46,65,97,4,9,85,88,19,62,54,40,10,27,74,87,25,83,49,59,74,63,76,14,19,13,72,13,66,87,1,36,93
0,2,28,5,52,19,39,75,64,22,47,83,8,92,7,17,64,31,31,31,21,58,41,75,4,57,18,38,72,51,52,66,94,33,16,9,59,82,68,11,99,26,21,58,13,86,73,36,78,40,81,91,45,70,21,81,3,68,13,32,29,52,67,58,42,76,62,21,98,52,46,65,97,4,9,85,88,19,62,52,40,10,39,74,87,25,83,49,59,74,63,65,16,19,13,72,13,66,87,1,36,93
0,3,28,5,52,19,39,75,64,22,47,83,8,92,7,17,64,31,31,31,21,58,41,75,13,60,18,38,32,51,52,66,94,33,16,9,59,82,68,11,99,26,21,58,13,86,73,36,78,40,81,91,45,70,21,81,3,68,13,32,29,52,67,18,59,67,92,21,98,52,46,65,97,4,9,85,88,19,62,52,40,10,39,74,67,25,83,49,59,74,63,65,16,0,13,72,13,66,15,1,36,93
0,4,28,5,52,19,39,75,64,22,47,94,15,87,8,17,64,31,31,31,21,58,52,75,13,60,18,38,32,51,52,66,94,33,16,9,59,82,68,11,99,26,21,58,13,86,73,36,78,40,81,91,45,70,21,81,3,68,13,32,29,52,75,18,59,67,92,21,98,52,46,65,97,4,9,85,88,19,62,52,40,10,39,74,67,25,83,49,59,74,63,65,16,0,13,72,13,66,15,1,34,93
0,5,28,5,52,19,39,75,64,22,47,94,15,87,8,17,64,31,31,31,21,58,52,75,13,60,18,38,32,51,52,66,94,28,36,9,59,82,68,11,99,26,21,58,13,86,73,36,78,40,81,91,45,70,21,81,3,68,13,32,29,52,75,18,59,67,93,94,98,52,46,65,97,4,9,85,88,19,62,52,40,10,39,74,67,25,83,49,59,74,63,65,16,14,13,72,13,66,15,1,34,93
0,6,37,20,52,79,39,75,64,34,47,94,15,87,8,17,64,34,71,31,21,58,49,75,13,60,18,38,32,51,52,66,94,28,36,9,39,82,68,11,99,26,26,58,13,86,93,36,78,40,81,91,44,70,21,81,3,68,13,26,29,52,75,18,59,67,93,94,98,92,46,65,37,4,9,85,88,19,62,52,40,10,39,74,67,25,22,12,54,74,63,65,16,14,13,92,15,67,15,1,36,93
0,7,37,20,52,79,39,75,64,34,47,94,15,87,68,17,64,34,71,36,21,58,49,75,13,60,18,38,32,51,52,66,94,31,36,9,39,82,68,11,99,26,26,58,13,86,93,36,78,40,81,91,44,70,21,81,3,68,13,26,29,52,75,18,59,67,93,94,98,92,51,65,37,44,9,85,88,19,62,52,40,10,39,74,67,27,23,12,54,74,63,65,16,14,13,92,15,67,15,12,36,93
0,8,37,20,52,79,39,75,64,34,47,94,15,87,68,17,64,34,71,36,21,48,49,71,13,60,18,38,32,51,52,66,94,31,36,9,39,82,68,11,99,26,26,58,13,86,93,36,78,40,81,91,44,70,21,81,3,68,13,26,29,52,75,18,59,67,93,94,98,92,51,65,37,44,9,85,85,18,62,52,40,10,39,79,67,27,23,9,59,74,63,65,16,14,13,92,15,67,15,12,34,93
0,9,37,20,52,79,39,75,64,34,47,94,15,87,68,17,64,34,71,36,21,48,49,71,13,60,18,38,32,51,52,66,94,31,36,9,39,82,68,11,99,26,26,58,13,86,93,39,78,40,81,99,44,70,21,81,3,68,13,26,29,52,75,18,59,67,93,94,98,92,51,65,37,44,9,85,85,19,62,52,40,10,39,79,67,27,23,9,59,74,63,65,16,14,13,92,15,67,15,12,34,93
0,10,37,20,52,79,39,75,64,34,47,94,15,87,68,17,64,34,71,36,21,48,49,71,13,60,18,38,32,51,52,66,94,31,36,9,39,82,68,11,99,26,26,58,13,86,93,39,78,40,81,99,44,70,21,81,3,68,13,26,29,52,75,18,59,67,93,94,98,92,51,65,37,44,9,89,85,19,62,52,40,10,39,79,67,27,23,9,59,74,63,65,16,14,13,92,15,67,15,12,36,93
0,11,37,20,52,79,39,75,64,34,47,94,15,87,68,17,64,34,71,36,21,48,49,71,13,60,18,38,32,51,52,66,94,31,36,9,39,82,68,11,99,26,26,58,13,86,93,39,78,40,81,99,44,70,21,81,3,68,13,26,29,52,75,18,59,67,93,94,98,92,51,65,37,44,9,89,85,19,62,52,40,10,39,79,67,27,23,9,59,74,63,65,16,14,13,92,15,67,15,12,36,93
0,12,37,20,52,79,39,75,64,34,47,94,15,87,68,17,64,34,71,36,21,48,49,71,13,60,18,38,32,51,52,66,94,31,36,9,39,82,68,11,99,26,26,58,13,86,93,39,78,40,81,99,44,70,21,81,3,68,13,26,29,52,75,18,59,67,93,94,98,92,51,65,37,44,9,89,85,19,62,52,40,10,39,79,67,27,23,9,59,74,63,65,16,14,13,92,15,67,15,12,34,93
0,13,37,20,52,79,39,75,64,34,47,94,15,87,68,17,64,34,71,36,21,48,49,71,13,60,18,38,32,51,52,66,94,31,36,9,39,82,68,11,99,26,26,58,13,86,93,39,78,40,81,99,44,70,21,81,3,68,13,26,29,52,75,18,59,67,93,94,98,92,51,65,37,44,9,89,85,19,62,52,40,10,39,79,67,27,23,9,59,74,63,65,16,14,13,92,15,67,15,12,34,93
