Plan ID,Plan Scores,Run-0,Run-1,Run-2,Run-3,Run-4
0,0.0,1,0,0,0,0
1,NaN,0,0,0,0,1
2,0.0,1,0,1,2,0
3,NaN,0,2,0,2,1
4,0.0,1,0,0,0,1
5,NaN,0,0,0,1,0
6,0.0,1,2,3,1,0
7,0.0,1,1,1,0,1
8,NaN,0,0,1,0,1
9,NaN,0,0,1,1,0
10,0.0,2,0,0,0,0
11,NaN,0,1,1,0,2
12,NaN,0,0,0,1,0
13,NaN,0,1,0,0,0
14,0.0,1,0,0,0,0
15,0.0,1,0,0,0,0
16,0.0,1,0,0,0,0
17,0.0,1,1,0,0,0
18,0.0,1,1,1,0,1
19,NaN,0,2,2,4,2
20,0.0,2,0,1,0,1
21,0.0,1,2,0,1,1
22,0.0,1,1,0,0,0
23,NaN,0,0,0,1,0
24,NaN,0,0,0,0,1
25,NaN,0,1,0,0,1
26,NaN,0,1,1,1,0
27,0.0,1,0,0,0,0
28,NaN,0,0,0,0,0
29,NaN,0,1,0,0,0
30,NaN,0,0,0,0,1
31,0.0,1,0,1,0,0
32,NaN,0,0,0,0,0
33,NaN,0,0,0,1,0
34,0.0,1,0,0,0,0
35,0.0,1,0,0,1,0
36,NaN,0,0,0,0,0
37,NaN,0,0,0,0,1
38,0.0,2,0,1,1,1
39,NaN,0,0,1,1,0
40,0.0,2,1,0,1,0
41,0.0,1,2,1,1,3
42,0.0,2,0,0,0,0
43,0.0,1,0,1,1,2
44,NaN,0,0,0,0,0
45,NaN,0,0,1,1,0
46,NaN,0,0,0,1,0
47,NaN,0,0,0,0,0
48,NaN,0,1,1,1,1
49,0.0,1,1,1,2,0
50,NaN,0,0,0,0,0
51,NaN,0,0,0,1,1
52,NaN,0,0,1,0,0
53,NaN,0,0,1,1,1
54,NaN,0,0,0,0,0
55,NaN,0,1,0,0,0
56,NaN,0,0,0,1,1
57,NaN,0,0,1,0,0
58,NaN,0,0,1,0,0
59,0.0,1,0,1,1,1
60,0.0,2,2,2,2,1
61,NaN,0,3,0,2,1
62,NaN,0,2,0,0,0
63,0.0,1,0,0,0,1
64,NaN,0,1,0,0,0
65,NaN,0,0,0,0,0
66,NaN,0,0,0,1,0
67,0.0,1,0,1,1,2
68,NaN,0,2,0,0,0
69,0.0,2,1,0,1,0
70,0.0,1,1,0,0,0
71,NaN,0,1,0,0,0
72,NaN,0,0,0,0,0
73,NaN,0,1,0,0,0
74,NaN,0,0,0,0,0
75,0.0,2,1,1,0,1
76,NaN,0,0,0,0,0
77,NaN,0,0,1,0,0
78,0.0,1,0,1,0,0
79,NaN,0,0,0,0,2
80,NaN,0,1,2,0,0
81,0.0,1,0,0,2,0
82,NaN,0,0,1,1,0
83,0.0,1,0,2,0,1
84,NaN,0,0,0,0,1
85,NaN,0,0,0,1,0
86,NaN,0,0,0,0,0
87,0.0,2,2,2,1,2
88,NaN,0,0,1,1,1
89,NaN,0,0,0,0,0
90,NaN,0,0,0,0,0
91,NaN,0,2,0,1,0
92,0.0,1,0,0,1,1
93,NaN,0,2,0,0,0
94,NaN,0,1,1,1,2
95,NaN,0,0,0,0,2
96,NaN,0,1,1,0,0
97,0.0,1,1,0,2,1
98,0.0,2,1,1,1,0
99,0.0,1,2,2,1,1
100,0.0,1,1,0,0,1
101,NaN,0,0,0,1,0
102,NaN,0,0,1,1,0
103,NaN,0,0,0,0,0
104,0.0,1,1,1,1,0
105,NaN,0,1,1,1,0
106,NaN,0,0,0,0,0
107,NaN,0,2,1,2,0
108,NaN,0,1,0,0,0
109,0.0,1,0,0,0,0
110,0.0,1,0,0,0,0
111,NaN,0,0,0,0,0
112,NaN,0,0,0,0,1
113,0.0,1,0,1,1,4
114,NaN,0,2,0,0,0
115,NaN,0,0,1,1,0
116,NaN,0,0,0,0,1
117,NaN,0,0,1,0,0
118,NaN,0,0,1,2,1
119,0.0,1,0,1,0,0
120,0.0,1,0,0,1,1
121,NaN,0,1,1,1,2
122,NaN,0,1,2,0,0
123,NaN,0,1,2,1,1
124,0.0,2,1,1,2,1
125,0.0,2,1,0,1,1
126,0.0,1,1,3,0,0
127,0.0,3,1,2,2,0
128,NaN,0,1,1,0,0
129,NaN,0,1,2,0,0
130,0.0,1,1,0,1,1
131,0.0,1,2,1,0,1
132,0.0,1,2,0,1,1
133,0.0,2,0,0,0,0
134,0.0,1,0,0,2,3
135,NaN,0,0,1,1,0
136,0.0,1,1,2,1,2
137,0.0,1,2,0,2,1
138,NaN,0,0,2,2,0
139,0.0,1,2,0,0,2
140,0.0,3,2,0,1,3
141,NaN,0,1,0,0,0
142,NaN,0,0,0,1,1
143,0.0,1,0,0,1,1
144,NaN,0,0,1,1,0
145,0.0,1,1,1,0,0
146,NaN,0,2,0,1,0
147,NaN,0,0,1,1,1
148,0.0,1,1,1,1,0
149,0.0,2,0,0,0,0
150,NaN,0,1,0,0,1
151,0.0,1,1,0,0,0
152,NaN,0,1,0,1,0
153,0.0,1,0,0,0,0
154,NaN,0,0,1,0,0
155,NaN,0,0,1,0,0
156,NaN,0,1,1,0,1
157,NaN,0,0,2,1,1
158,0.0,1,0,0,0,0
159,NaN,0,0,0,1,1
160,NaN,0,1,0,2,1
161,NaN,0,1,0,0,1
162,NaN,0,0,0,1,0
163,NaN,0,0,0,0,0
164,NaN,0,1,0,0,0
165,NaN,0,0,0,0,0
166,NaN,0,0,1,0,1
167,0.0,1,0,1,0,1
168,0.0,1,1,1,1,0
169,NaN,0,1,0,0,0
170,NaN,0,0,0,0,0
